Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_dolar,Viaticos_pesos,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"HIGONET, María de los Ángeles",HSN 2323/2012,México,26-06-2012,03-07-2012,700.0,4735.0,0.0,Misión Observación Electoral de la Confederación Parlamentraria (COPA),PJ La Pampa,7906.0,1745.2538631346576
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 2227/2012,México,28-06-2012,03-07-2012,600.0,4050.0,0.0,Misión Observación Electoral de la Confederación Parlamentraria (COPA),Frente Cívico por Santiago,6768.0,1494.0397350993376
"FELLNER, Liliana Beatriz",HSN 2227/2012,México,27-06-2012,03-07-2012,600.0,4050.0,0.0,Misión Observación Electoral de la Confederación Parlamentraria (COPA),PJ Frente para la Victoria,6768.0,1494.0397350993376
"DÍAZ, María Rosa",HSN 2102/2012,Países Bajos,25-06-2012,02-07-2012,0.0,0.0,700.0,"Concurso Literario ""De Ana Frank a nuestros días""",Nuevo Encuentro,4018.0,886.9757174392936
"ARTAZA, Eugenio",HSN 2238/2012,Perú,24-06-2012,27-06-2012,400.0,1800.0,0.0,"Reuniones de las Comisiones Equidad, Género, Niñez y Juventud",Unión Cívica Radical,3740.0,767.9671457905544
"LOPEZ, Osvaldo Ramón",HSN 2238/2012,Perú,23-06-2012,27-06-2012,500.0,2250.0,0.0,"Reuniones de las Comisiones Equidad, Género, Niñez y Juventud",Nuevo Encuentro,4675.0,959.958932238193
"MONTERO, Laura Gisela",HSN 2178/2012,Brasil,18-06-2012,25-06-2012,1750.0,0.0,0.0,Audiencia Pública Relaciones Comerciales Brasil-Argentina,Unión Cívica Radical,7892.5,1750.0
"CORRADI DE BELTRAN, Ana María",HSN 2799/2012,México,27-06-2012,04-07-2012,600.0,4059.0,0.0,Misión Observación Electoral de la Confederación Parlamentraria (COPA),PJ Frente para la Victoria,6777.0,1496.026490066225
"LUNA, Mirtha Teresita",HSN 2673/2012,Brasil,19-06-2012,24-06-2012,1250.0,0.0,0.0,ONU RIO+20,PJ Frente para la Victoria,5637.5,1250.0
"RUIZ DIAZ, Elsa",HSN 2101/2012,Panamá,17-06-2012,23-06-2012,1750.0,0.0,0.0,Conferencia Interparlamentaria,PJ Frente para la Victoria,8487.5,1742.8131416837782
"GIUSTINIANI, Rubén Héctor",HSN 1979/2012,Brasil,19-06-2012,23-06-2012,0.0,5600.0,0.0,ONU RIO+20,Partido Socialista,5600.0,1241.6851441241686
"MORANDINI, Norma Elena",HSN 2103/2012,Brasil,17-06-2012,24-06-2012,750.0,0.0,0.0,ONU RIO+20,Frente Cívico de la Provincia de Córdoba,3637.4999999999995,746.9199178644762
"HIGONET, María de los Ángeles",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,PJ La Pampa,6750.0,1500.0
"DÍAZ, María Rosa",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,Nuevo Encuentro,6750.0,1500.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 2072/2012,Estados Unidos,13-06-2012,18-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,Frente Cívico por Santiago,6750.0,1500.0
"CABANCHIK, Samuel",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,Coalición Cívica,6750.0,1500.0
"ROLDAN, José María",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,Frente de Todos,6750.0,1500.0
"RODRÍGUEZ SAÁ, Adolfo",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,Justicialista San Luis,6750.0,1500.0
"COLAZO, Mario Jorge",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,PJ Frente para la Victoria,6750.0,1500.0
"GODOY, Ruperto Eduardo",HSN 2072/2012,Estados Unidos,13-06-2012,16-06-2012,600.0,0.0,0.0,Comité Especial de Descolonización ONU,PJ Frente para la Victoria,2700.0,600.0
"LINARES, Jaime",HSN 2072/2012,Estados Unidos,13-06-2012,16-06-2012,1200.0,0.0,0.0,Comité Especial de Descolonización ONU,Gen,5400.0,1200.0
"PICHETTO, Miguel  Ángel",HSN 2072/2012,Estados Unidos,13-06-2012,20-06-2012,2100.0,0.0,0.0,Comité Especial de Descolonización ONU,PJ Frente para la Victoria,9450.0,2100.0
"FILMUS, Daniel Fernando",HSN 2072/2012,Estados Unidos,13-06-2012,17-06-2012,1500.0,0.0,0.0,Comité Especial de Descolonización ONU,PJ Frente para la Victoria,6750.0,1500.0
"CIMADEVILLA, Mario Jorge",HSN 2135/2012,Ecuador,03-07-2012,08-07-2012,600.0,2694.0,0.0,Seminario Internacional de Energías Alternativas y Ambiente,Unión Cívica Radical,5418.0,1193.3920704845814
"ROLDAN, José María",HSN 2302/2012,Italia,10-07-2012,20-07-2012,0.0,7882.0,700.0,Coloquio Internacional entre la Diversidad Cultural y Bien Patrimonial,Frente de Todos,11872.0,2609.2307692307695
"BORELLO, Marta",HSN 2674/2012,Panamá,24-07-2012,30-07-2012,1200.0,0.0,0.0,Parlatino,Unión Cívica Radical,5496.0,1200.0
"LOPEZ, Osvaldo Ramón",HSN 2674/2012,Panamá,21-07-2012,02-08-2012,800.0,0.0,0.0,Parlatino,Nuevo Encuentro,3879.9999999999995,796.7145790554414
"RACHED, Emilio Alberto",HSN 2798/2012,Ecuador,30-07-2012,04-08-2012,800.0,0.0,0.0,Reunión Extraordinaria de la Comisión de Seguridad Ciudadana,Unión Cívica Radical,3672.0,800.0
"GODOY, Ruperto Eduardo",HSN 3242/2012,Francia,23-08-2012,28-08-2012,0.0,0.0,1800.0,Estivales Citoyennes du Front de Gauche,PJ Frente para la Victoria,10440.0,2254.8596112311016
"HIGONET, María de los Ángeles",HSN 3362/2012,Brasil,28-08-2012,30-08-2012,750.0,0.0,0.0,Parlatino,PJ La Pampa,3479.9999999999995,750.0
"ROLDAN, José María",HSN 1678/2012,Estados Unidos,15-09-2012,24-09-2012,2100.0,0.0,0.0,Ecotourism and Sustainable Tourism Conference,Frente de Todos,10185.0,2091.3757700205338
"CANO, José Manuel",HSN 3436/2012,Colombia,02-09-2012,08-09-2012,1200.0,0.0,0.0,Participación RAP,Unión Cívica Radical,5820.0,1195.071868583162
"MORANDINI, Norma Elena",HSN 3572/2012,Uruguay,26-09-2012,29-09-2012,600.0,0.0,0.0,"Reunión de la Comisión de Educación, Cultura, Ciencia, Tecnología y Comunicación",Frente Cívico de la Provincia de Córdoba,2820.0,600.0
"BERMEJO, Rolando Adolfo",HSN 3572/2012,Uruguay,27-09-2012,29-09-2012,600.0,0.0,0.0,"Reunión de la Comisión de Educación, Cultura, Ciencia, Tecnología y Comunicación",PJ Frente para la Victoria,2820.0,600.0
"BIANCALANI, Fabio Dario",HSN 3257/2012,República Dominicana,16-09-2012,20-09-2012,800.0,0.0,0.0,Encuentro de Presidentes y Cosecretarios de Parlamentos de Integración Regional de América Latina,PJ Frente para la Victoria,3879.9999999999995,796.7145790554414
"MORANDINI, Norma Elena",HSN 3570/2012,Ecuador,18-09-2012,23-09-2012,400.0,0.0,0.0,Sesión Ordinaria del Parlamento Indígena de América,Frente Cívico de la Provincia de Córdoba,1872.0,400.0
"FERNÁNDEZ, Aníbal Domingo",HSN 2512/2012,Israel,21-09-2012,29-09-2012,2100.0,0.0,0.0,Visita oficial en representación del Honorable Senado al Estado de Israel,PJ Frente para la Victoria,9849.0,2100.0
