Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"MORANDINI, Norma Elena",HSN 1994-2013,Estados Unidos,13-05-2013,19-05-2013,0.0,1800.0,0.0,Fundación Red de Acciones Políticas,Frente Cívico De La Provincia De Córdoba,9414.0,1799.9999999999998
"CORREGIDO, Elena Mercedes",HSN 2362 2013,Ecuador,26-05-2013,30-06-2013,0.0,1000.0,0.0,Asamblea Nacional en la ciudad de Quito,Frente para la Victoria,6250.0,997.6057462090982
"DÍAZ, María Rosa",HSN 2519 2013,Perú,06-06-2013,15-06-2013,0.0,1400.0,0.0,Taller Parlamentario sobre el Derecho a la Identidad y la Protección,Nuevo Encuentro,7427.0,1400.0
"CORREGIDO, Elena Mercedes",HSN 2519 2013,Perú,06-06-2013,11-06-2013,0.0,1200.0,0.0,Comitiva Oficial,Frente para la Victoria,6366.0,1200.0
"FELLNER, Liliana Beatriz",HSN 2519 2013,Perú,05-06-2013,10-06-2013,0.0,1200.0,0.0,Comitiva Oficial,Frente para la Victoria,6354.0,1200.0
"BORELLO, Marta",HSN 2532 2013,Alemania,08-06-2013,15-06-2013,0.0,0.0,2100.0,Visita Informativa sobre Ciencia y Tecnología,Unión Cívica Radical,17052.0,2721.787709497207
"LATORRE, Roxana",HSN 2494 2013,Suiza,09-06-2013,24-06-2013,0.0,2100.0,0.0,OIT,Santa Fe Federal,13125.0,2094.972067039106
"MORALES, Gerardo",HSN 2494 2013,Suiza,15-06-2013,24-06-2013,0.0,2100.0,0.0,OIT,Unión Cívica Radical,13125.0,2094.972067039106
"HIGONET, María de los Ángeles",HSN 2494 2013,Suiza,13-06-2013,20-06-2013,0.0,2100.0,0.0,OIT,PJ La Pampa,11193.0,2100.0
"DE LA ROSA, María Graciela",HSN 2494 2013,Suiza,13-06-2013,20-06-2013,0.0,2100.0,0.0,OIT,Frente para la Victoria,11193.0,2100.0
"CORRADI DE BELTRAN, Ana María",HSN 2494 2013,Suiza,13-06-2013,20-06-2013,0.0,2100.0,0.0,OIT,Frente para la Victoria,11193.0,2100.0
"ARTAZA, Eugenio",HSN 2494 2013,Suiza,15-06-2013,22-06-2013,0.0,2100.0,0.0,OIT,Unión Cívica Radical,13125.0,2094.972067039106
"GIUSTINIANI, Rubén Héctor",HSN 2494 2013,Suiza,07-06-2013,19-06-2013,0.0,2100.0,0.0,OIT,Partido Socialista,11140.5,2100.0
"GIUSTINIANI, Rubén Héctor",HSN 2676 2013,Estados Unidos,19-06-2013,24-06-2013,0.0,1500.0,0.0,Comité Especial por la Descolonizacion de las Islas Malvinas,Partido Socialista,8032.500000000001,1500.0
"HIGONET, María de los Ángeles",HSN 2943 2013,El Salvador,27-06-2013,29-06-2013,0.0,600.0,0.0,PARLATINO,PJ La Pampa,3231.0,600.0
"CIMADEVILLA, Mario Jorge",HSN 2881 2013,Paraguay,20-06-2013,24-06-2013,5341.0,0.0,0.0,FIA (Federacion Interamericana de Abogados),Unión Cívica Radical,5341.0,852.5139664804469
"RIOFRÍO, Marina Raquel",HSN 2855 2013,Estados Unidos,18-06-2013,24-06-2013,0.0,1500.0,0.0,ONU,Frente para la Victoria,8017.5,1500.0
"BERMEJO, Rolando Adolfo",HSN 2777 2013,Chile,17-06-2013,21-06-2013,4261.0,0.0,0.0,Foro Viviendas Autoconstruidas,Frente para la Victoria,4261.0,797.940074906367
"FELLNER, Liliana Beatriz",HSN 2781 2013,Colombia,19-06-2013,25-06-2013,0.0,800.0,0.0,PARLATINO,Frente para la Victoria,4284.0,799.9999999999999
"FILMUS, Daniel Fernando",HSN 2672 2013,Irlanda,11-06-2013,15-06-2013,0.0,0.0,1500.0,Encuentro Parlamentario por la Cuestión Malvinas,Frente para la Victoria,12179.999999999998,2291.627469426152
"VERANI, Pablo",HSN 2730 2013,Colombia,17-07-2013,29-07-2013,0.0,0.0,0.0,Olimpiadas Matemáticas,Unión Cívica Radical,0.0,0.0
"BONGIORNO, María José",HSN 3008 2013,Estados Unidos,06-07-2013,14-07-2013,0.0,2100.0,0.0,Debate sobre Desigualdades Sociales,Frente para la Victoria,13125.0,2094.972067039106
"BIANCALANI, Fabio Dario",HSN 2928 2013,Lituania,13-07-2013,20-07-2013,0.0,0.0,2100.0,Reuniones de Comisiones Parlamentarias Permanentes,Frente para la Victoria,17052.0,2721.787709497207
"HIGONET, María de los Ángeles",HSN 2928 2013,Lituania,13-07-2013,19-07-2013,0.0,0.0,2100.0,Reuniones de Comisiones Parlamentarias Permanentes,PJ La Pampa,17052.0,2721.787709497207
"FELLNER, Liliana Beatriz",HSN 3141 2013,Colombia,07-07-2013,10-07-2013,0.0,800.0,0.0,Foro sobre Políticas Públicas,Frente para la Victoria,5000.0,798.0845969672786
"FELLNER, Liliana Beatriz",HSN 3299 2013,España,14-07-2013,25-07-2013,0.0,0.0,2100.0,Curso de Gestión de Gabinetes Políticos e Institucionales,Frente para la Victoria,17052.0,2721.787709497207
"CORREGIDO, Elena Mercedes",HSN 3361 2013,Venezuela,23-07-2013,30-07-2013,0.0,1500.0,0.0,Reunión de Comisiones,Frente para la Victoria,8197.5,1500.0
"DÍAZ, María Rosa",HSN 3410 2013,Venezuela,23-07-2013,31-07-2013,0.0,1750.0,0.0,Encuentro Continental de la Solidaridad con Cuba,Nuevo Encuentro,9563.75,1750.0
"LUNA, Mirtha Teresita",HSN-3409/2013,Venezuela,23-07-2013,28-07-2013,0.0,1500.0,0.0,Reunión de la Comisión de Medio Ambiente y Turismo,Frente para la Victoria,8197.5,1500.0
"BERMEJO, Rolando Adolfo",HSN 3203 2013,México,16-07-2013,22-07-2013,0.0,1500.0,0.0,Foro Internacional de Vivienda,Frente para la Victoria,8160.000000000001,1500.0
"BARRIONUEVO, Walter",HSN 3439 2013,Brasil,05-08-2013,09-08-2013,4110.0,0.0,0.0,Conferencia Brasilera y Sudamericana de Medios Ciudadanos,Frente para la Victoria,4110.0,743.891402714932
"CORREGIDO, Elena Mercedes",HSN 3693 2013,Uruguay,12-08-2013,16-08-2013,4404.0,0.0,0.0,CEPAL,Frente para la Victoria,4404.0,792.7992799279929
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 3851 2013,Costa Rica,22-08-2013,26-08-2013,0.0,1000.0,0.0,Asamblea Parlamentaria de Parlaméricas,Frente Cívico Por Santiago,5620.0,1000.0
"CORREGIDO, Elena Mercedes",HSN 4038 2013,Costa Rica,21-08-2013,27-08-2013,0.0,1200.0,0.0,Asamblea Parlamentaria de Parlaméricas,Frente para la Victoria,6726.000000000001,1200.0
"GONZÁLEZ, Pablo Gerardo",HSN 4046 2013,Costa Rica,29-08-2013,03-09-2013,0.0,1000.0,0.0,Reunión de la Comisión de Derechos Humanos,Frente para la Victoria,5665.0,1000.0
"HIGONET, María de los Ángeles",HSN 4170 2013,Costa Rica,29-08-2013,01-09-2013,0.0,800.0,0.0,Reunión de Servicios Públicos y Defensa al Consumidor,PJ La Pampa,4532.0,800.0
"BORELLO, Marta",HSN 4045 2013,Panamá,28-08-2013,01-09-2013,0.0,1250.0,0.0,Reunión Extraordinaria de la Comisión de Asuntos Económicos,Unión Cívica Radical,7068.75,1250.0
"BIANCALANI, Fabio Dario",HSN 4370 2013,Uruguay,09-09-2013,09-09-2013,1139.0,0.0,0.0,Reunión de la Mesa Directiva,Frente para la Victoria,1139.0,199.64943032427695
