Autoridad,Expediente,Destino,Viaticos_euro,Viaticos_dolar,Motivo,Bloque,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"PINEDO, Federico",5420/2016,Alemania/Suiza/Reino Unido de Gran  Bretaña,2100.0,0.0,"""International Democrat Union Executive Meeting"",
""Committee on the Human Rights of Parlamentarians"", Visita al Parlamento del Reino Unido",Frente PRO,14-01-2017,05-02-2017,0,37800.0,2423.0769230769233
"CREXELL, Carmen Lucila",5534/2016,Gran Bretaña/ Irlanda del Norte,2100.0,0.0,Grupo Parlamentario de Amistad Gran Bretaña - Argentina,Movimiento Popular Neuquino,27-01-2017,07-02-2017,0,37800.0,2347.8260869565215
"URTUBEY, Rodolfo Julio",5534/2016,Gran Bretaña/ Irlanda del Norte,2100.0,0.0,Grupo Parlamentario de Amistad Gran Bretaña - Argentina,Frente para la Victoria,28-01-2017,05-02-2017,0,37800.0,2423.0769230769233
"PEREYRA, Guillermo",333/2017,España,1200.0,0.0,Comitiva oficial del Ministerio de Trabajo,Movimiento Popular Neuquino,18-02-2017,28-02-2017,0,21600.0,1384.6153846153848
"PETCOFF NAIDENOFF, Luis Carlos",333/2017,España,1200.0,0.0,Comitiva oficial del Ministerio de Trabajo,Unión Cívica Radical,20-02-2017,26-02-2017,0,21600.0,1358.4905660377358
"PILATTI VERGARA, María Inés",303/2017,Ecuador,0.0,1200.0,Comicios generales en la Republica del Ecuador,Frente para la Victoria,16-02-2017,21-02-2017,0,18720.0,1200.0
"COBOS, Julio César",305/2017,Chile,0.0,400.0,Bicentenario del Cruce de los Andes y la Batalla de Chacabuco,Unión Cívica Radical,12-02-2017,13-02-2017,0,6240.0,400.0
"URTUBEY, Rodolfo Julio",179/2017,Estados Unidos,0.0,900.0,"Audiencia Parlamentaria Anual de la Unión Interparlamentaria
""El mundo azul""",Frente para la Victoria,12-02-2017,19-02-2017,0,14040.0,900.0
"ROZAS, Ángel",179/2017,Estados Unidos,0.0,2100.0,"Audiencia Parlamentaria Anual de la Unión Interparlamentaria
""El mundo azul""",Unión Cívica Radical,11-02-2017,20-02-2017,0,32760.0,2100.0
"SOLANAS, Fernando Ezequiel",5598/2016,Italia,2100.0,0.0,"""Encuentro Ética en Acción""",Proyecto Sur-UNEN,01-02-2017,10-02-2017,0,37800.0,2362.5
"FELLNER, Liliana Beatriz",258/2017,Panamá,0.0,1000.0,"""Parlamento Latinoamericano""",Frente para la Victoria,19-02-2017,22-02-2017,0,15600.0,1000.0
"LUENZO, Alfredo Héctor",332/2017,Chile,0.0,400.0,Bicentenario del Cruce de los Andes y la Batalla de Chacabuco,Chubut Somos Todos,12-02-2017,13-02-2017,0,6240.0,400.0
"AGUILAR, Eduardo",341/2017,Bélgica,2100.0,0.0,Conferencia Parlamentaria sobre OMC,Frente para la Victoria,07-03-2017,16-03-2017,0,37800.0,2400.0
"COBOS, Julio César",515/2017,República de Azerbaiyán,0.0,1800.0,5º Foro Global de Bakú,Unión Cívica Radical,13-03-2017,19-03-2017,0,28260.0,1800.0
"LINARES, Jaime",550/2017,Alemania,2100.0,0.0,Convención de la Alianza Progresista,Gen,09-03-2017,16-03-2017,0,37800.0,2400.0
"FELLNER, Liliana Beatriz",585/2017,México,0.0,1250.0,Parlamento Latinoamericano y Caribeño,Frente para la Victoria,22-03-2017,26-03-2017,0,19750.0,1250.0
"LUENZO, Alfredo Héctor",541/2017,México,0.0,1250.0,Parlamento Latinoamericano y Caribeño,Chubut Somos Todos,22-03-2017,26-03-2017,0,19750.0,1250.0
"CREXELL, Carmen Lucila",646/2017,Bangladesh,0.0,2100.0,136º Asamblea de la Unión Interparlamentaria,Movimiento Popular Neuquino,28-03-2017,05-04-2017,0,33180.0,2100.0
"PINEDO, Federico",646/2017,Bangladesh,0.0,1800.0,136º Asamblea de la Unión Interparlamentaria,Frente PRO,31-03-2017,05-04-2017,0,28080.0,1800.0
