Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque
"GONZALEZ, Pablo",2302 /2015,Suiza,03-06-2015,11-06-2015,0.0,0.0,2100.0,OIT,PJ Frente para la Victoria
"GIUSTINIANI, Rubén",2302 /2015,Suiza,07-06-2015,12-06-2015,0.0,0.0,1500.0,OIT,Partido Socialista
"NEGRE DE ALONSO, Liliana",2302 /2015,Suiza,07-06-2015,12-06-2015,0.0,0.0,1500.0,OIT,Justicialista San Luis
"ABAL MEDINA, Juan Manuel",3128 /2015,Rusia,05-07-2015,11-07-2015,0.0,1800.0,0.0,Consejo de la Federación de la Asamblea Federal,PJ Frente para la Victoria
"ITURREZ  DE CAPPELLINIi, Ada Hilda",3229 /2015,Paraguay,09-07-2015,13-07-2015,9075.0,0.0,0.0,Visita del papa a la república del Paraguay,Frente Cívico por Santiago
"CABRAL, Salvador",3453 /2015,Brasil,13-07-2015,18-07-2015,13687.0,0.0,0.0,MERCOSUR,PJ Frente para la Victoria
"KUNATH, Sigrid",3615 /2015,Panamá,30-07-2015,01-08-2015,0.0,750.0,0.0,Parlatino,PJ Frente para la Victoria
"FELLNER, Liliana",3615 /2015,Panamá,28-07-2015,01-08-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"FELLNER, Liliana",4139 /2015,Bolivia,12-08-2015,15-08-2015,7376.0,0.0,0.0,Parlatino,PJ Frente para la Victoria
"DE LA ROSA, María",4138 /2015,México,12-08-2015,16-08-2015,0.0,1000.0,0.0,Foro Internacional para Fortalecer la Agricultura Familiar,PJ Frente para la Victoria
"MORANDINI, Norma",4239 /2015,Brasil,17-08-2015,22-08-2015,11550.0,0.0,0.0,Parlatino,Frente Cívico de la Provincia de Córdoba
"HIGONET, María de los Ángeles",4239 /2015,Brasil,18-08-2015,22-08-2015,9240.0,0.0,0.0,Parlatino,PJ La Pampa
"GARCIA LARRABURU, Silvina
Marcela",4251 /2015,Estados Unidos,29-08-2015,05-09-2015,0.0,1800.0,0.0,Conferencia Mundial de Presidentes de Parlamento,PJ Frente para la Victoria
"URTUBEY, Rodolfo Julio",4251 /2015,Estados Unidos,29-08-2015,05-09-2015,0.0,1800.0,0.0,Conferencia Mundial de Presidentes de Parlamento,PJ Frente para la Victoria
"RIOFRIO, Marina Raquel",4251 /2015,Estados Unidos,30-08-2015,03-09-2015,0.0,0.0,0.0,Conferencia Mundial de Presidentes de Parlamento,PJ Frente para la Victoria
"MONTERO, Laura Gisela",4136 /2015,Uruguay,17-08-2015,18-08-2015,0.0,0.0,0.0,Mercosur,Unión Cívica Radical
"PILATTI VERGARA, María Inés",4136 /2015,Uruguay,17-08-2015,18-08-2015,3692.0,0.0,0.0,Mercosur,PJ Frente para la Victoria
"ROZAS, Ángel",4136 /2015,Uruguay,14-08-2015,18-08-2015,9230.0,0.0,0.0,Mercosur,Unión Cívica Radical
"CASTILLO, Oscar Aníbal",4136 /2015,Uruguay,16-08-2015,17-08-2015,3692.0,0.0,0.0,Mercosur,Frente Cívico y Social de Catamarca
"RODRIGUEZ SAA, Adolfo",4136 /2015,Uruguay,16-08-2015,17-08-2015,3692.0,0.0,0.0,Mercosur,Justicialista San Luis
"GIMENEZ, Sandra Daniela",4136 /2015,Uruguay,17-08-2015,17-08-2015,1846.0,0.0,0.0,Mercosur,PJ Frente para la Victoria
"MAYANS, José Miguel Ángel",4136 /2015,Uruguay,14-08-2015,18-08-2015,9230.0,0.0,0.0,Mercosur,PJ Frente para la Victoria
"ODARDA, María Magdalena",4374 /2015,Chile,24-08-2015,25-08-2015,1852.0,0.0,0.0,Encuentro con el superintendente de Valores y Seguros,Frente Progresista CCARI
"CIMADEVILLA, Mario",4310 /2015,Estados Unidos,30-08-2015,06-09-2015,0.0,1800.0,0.0,Conferencia Mundial de Presidentes de Parlamento,Unión Cívica Radical
"AGUIRRE DE SORIA, Hilda",4508 /2015,Colombia,01-09-2015,07-09-2015,0.0,600.0,0.0,Parlatino,PJ Frente para la Victoria
"CREXELL, Carmen Lucila",3988 /2015,Rusia,21-09-2015,28-09-2015,0.0,1200.0,0.0,Foro Euroasiático de Mujeres,Movimiento Popular Neuquino
"ITURREZ DE CAPPELLINI, Ada Hilda",4611 /2015,México,09-09-2015,13-09-2015,0.0,1000.0,0.0,COPA y Reunión Anual de la Red de Mujeres Parlamentarias de las Américas,Frente Cívico por Santiago
"HIGONET, María de los Ángeles",4611 /2015,México/Panamá,08-09-2015,16-09-2015,0.0,1750.0,0.0,"COPA y Reunión Anual de la Red de Mujeres Parlamentarias de
las Américas",PJ La Pampa
"BERMEJO, Rolando",4228 /2015,Estados Unidos,10-09-2015,16-09-2015,0.0,2100.0,0.0,"Segunda fase del plan estratégico para calles sostenibles e
iluminación verde",PJ Frente para la Victoria
"MONTERO, Laura Gisela",TRI-2677/15,Uruguay,20-09-2015,22-09-2015,0.0,0.0,0.0,Mercosur,Unión Cívica Radical
"RODRIGUEZ SAA, Adolfo",4750 /2015,Uruguay,20-09-2015,21-09-2015,3746.0,0.0,0.0,Mercosur,Justicialista San Luis
"MAYANS, José Miguel Ángel",4750 /2015,Uruguay,20-09-2015,22-09-2015,5619.0,0.0,0.0,Mercosur,PJ Frente para la Victoria
"PILATTI VERGARA, María Ines",4705 /2015,México,24-09-2015,28-09-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"DE LA ROSA, María Graciela",4705 /2015,México,23-09-2015,27-09-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"URTUBEY, Rodolfo Julio",4705 /2015,México,,,0.0,0.0,0.0,Parlatino,PJ Frente para la Victoria
"NEGRE DE ALONSO, Liliana",4705 /2015,México,23-09-2015,27-09-2015,0.0,1000.0,0.0,Parlatino,Justicialista San Luis
"PERSICO, Daniel Raúl",4705 /2015,México,24-09-2015,28-09-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"HIGONET, María de los Ángeles",4849  /2015,Rusia/Reino Unido de Gran Bretaña,22-09-2015,29-09-2015,0.0,2100.0,0.0,Foro Euroasiático de Mujeres,PJ La Pampa
"AGUILAR, Eduardo",4952 /2015,Estados Unidos,24-09-2015,01-10-2015,0.0,1800.0,0.0,Integrar Comitiva Oficial,PJ Frente para la Victoria
"FELLNER, Liliana",4919 /2015,Guyana Francesa,29-09-2015,01-10-2015,0.0,0.0,900.0,Lanzamiento de ARSAT-2,PJ Frente para la Victoria
"PICHETTO, Miguel  Ángel",4919 /2015,Guyana Francesa,29-09-2015,01-10-2015,0.0,0.0,900.0,Lanzamiento de ARSAT-2,PJ Frente para la Victoria
"FUENTES, Marcelo",4956 /2015,República Checa,09-08-2015,19-08-2015,0.0,0.0,1200.0,"Asamblea de Parlamentarios por la No Proliferación y el Desarme
Nuclear",PJ Frente para la Victoria
"MORANDINI, Norma Elena",4918 /2015,Portugal,02-10-2015,13-10-2015,0.0,0.0,1200.0,Congreso Mundial de Educación,Frente Cívico de la Provincia de Córdoba
"BORELLO, Marta Teresita",4918 /2015,Portugal,07-10-2015,17-10-2015,0.0,0.0,1500.0,Congreso Mundial de Educación,Unión Cívica Radical
"MONLLAU, Blanca María",4918 /2015,Portugal,07-10-2015,17-10-2015,0.0,0.0,1500.0,Congreso Mundial de Educación,Frente Cívico y Social de Catamarca
"GIUSTINIANI, Rubén",4795 /2015,Suiza,28-09-2015,19-10-2015,0.0,0.0,2100.0,"Asamblea de la Unión Interparlamentaria y reunión de la
Asociación de los Secretarios Generales de los Parlamentos",Partido Socialista
"LATORRE, Roxana",4795 /2015,Suiza,08-10-2015,19-10-2015,0.0,0.0,2100.0,"Asamblea de la Unión Interparlamentaria y reunión de la
Asociación de los Secretarios Generales de los Parlamentos",Federalismo Santafesino
"URTUBEY, Rodolfo Julio",4795 /2015,Suiza,15-10-2015,19-10-2015,0.0,0.0,1200.0,"Asamblea de la Unión Interparlamentaria y reunión de la
Asociación de los Secretarios Generales de los Parlamentos",PJ Frente para la Victoria
"CREXELL, Carmen Lucila",4795 /2015,Suiza,15-10-2015,23-10-2015,0.0,0.0,2100.0,"Asamblea de la Unión Interparlamentaria y reunión de la
Asociación de los Secretarios Generales de los Parlamentos",Movimiento Popular Neuquino
"HIGONET, María de los Ángeles",5306 /2015,"República
Checa/Suiza",13-10-2015,20-10-2015,0.0,0.0,2100.0,"Asamblea de Parlamentarios por la No Proliferación y el Desarme
Nuclear",PJ La Pampa
"FELLNER, Liliana Beatriz",5452 /2015,Panamá,29-10-2015,01-11-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"ITURREZ DE CAPPELLINI, Ada Hilda",5453 /2015,Aruba,29-10-2015,03-11-2015,0.0,1000.0,0.0,Parlatino,Frente Cívico por Santiago
"BOYADJIAN, Miriam Ruth",5453 /2015,Aruba,29-10-2015,05-11-2015,0.0,1000.0,0.0,Parlatino,Movimiento Popular Fueguino
"IRRAZABAL, Juan Manuel",5454/2015,Francia,,,0.0,0.0,0.0,Cumbre Internacionalista Plan B,PJ Frente para la Victoria
"HIGONET, María de los Ángeles",5830/2015,Panamá,27-11-2015,01-12-2015,0.0,1000.0,0.0,Parlatino,PJ La Pampa
"FELLNER, Liliana Beatriz",5830/2015,Panamá,26-11-2015,29-11-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"ITURREZ DE CAPPELLINI, Ada Rosa
del Valle",5830/2015,Panamá,26-11-2015,30-11-2015,0.0,1000.0,0.0,Parlatino,Frente Cívico por Santiago
"BOYADJIAN, Miriam Ruth",5830/2015,Panamá,26-11-2015,30-11-2015,0.0,1000.0,0.0,Parlatino,Movimiento Popular Fueguino
"BERTONE, Rosana Andrea",5830/2015,Panamá,26-11-2015,29-11-2015,0.0,1000.0,0.0,Parlatino,PJ Frente para la Victoria
"CREXELL, Carmen Lucila",5458/2015,Francia,30-11-2015,11-12-2015,0.0,0.0,2100.0,ONU,Movimiento Popular Neuquino
"SOLANAS, Fernando Ezequiel",5458/2015,Francia,02-12-2015,13-12-2015,0.0,0.0,2100.0,ONU,Proyecto Sur Unen
