Autoridad,Año,Bloque,Destino,Expediente,Fecha_llegada,Fecha_salida,Motivo,Viaticos_Total_Dolar,Viaticos_Total_Pesos,Viaticos_dolar,Viaticos_euro,Viaticos_pesos,Duracion_viaje
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"JUEZ, Luis",2013,Frente Cívico De La Provincia De Córdoba,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"COLAZO, Mario Jorge",2013,Frente para la Victoria,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"CIMADEVILLA, Mario Jorge",2013,Unión Cívica Radical,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"FERNÁNDEZ, Aníbal Domingo",2013,Frente para la Victoria,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"AGUIRRE, Hilda Clelia",2013,Frente para la Victoria,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"MARINO, Juan Carlos",2013,Unión Cívica Radical,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"CANO, José Manuel",2013,Unión Cívica Radical,Italia,HSN 1045-2013,2013-03-20 00:00:00,2013-03-17 00:00:00,Asunción del papa Francisco,1555.307262569832,9743.999999999998,0.0,1200.0,0.0,3.0
"ESCUDERO, Sonia Margarita",2013,Justicialista 8 De Octubre,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1400.0,7161.0,1400.0,0.0,0.0,5.0
"IRRÁZABAL, Juan Manuel",2013,Frente para la Victoria,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1000.0,5115.0,1000.0,0.0,0.0,5.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1400.0,7161.0,1400.0,0.0,0.0,5.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1000.0,5115.0,1000.0,0.0,0.0,5.0
"FILMUS, Daniel Fernando",2013,Frente para la Victoria,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1200.0,6138.0,1200.0,0.0,0.0,5.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1000.0,5115.0,1000.0,0.0,0.0,5.0
"LATORRE, Roxana",2013,Santa Fe Federal,Ecuador,HSN 652/2013,2013-03-27 00:00:00,2013-03-22 00:00:00,Asamblea Unión Interparlamentaria,1400.0,7161.0,1400.0,0.0,0.0,5.0
"ESTENSSORO, María Eugenia",2013,Coalición Cívica ARI,Brasil,HSN 1042-2013,2013-04-18 00:00:00,2013-04-16 00:00:00,Parlamento por la Infancia,0.0,0.0,0.0,0.0,0.0,2.0
"RACHED, Emilio Alberto",2013,Frente Cívico Por Santiago,Marruecos,HSN 1214-2013,2013-04-06 00:00:00,2013-03-26 00:00:00,Visita Oficial Reino de Marruecos,2100.0,10752.0,2100.0,0.0,0.0,11.0
"GODOY, Ruperto Eduardo",2013,Frente para la Victoria,México,HSN 1256-2013,2013-04-05 00:00:00,2013-04-03 00:00:00,4° Foro de consulta de presidentes de Parlamento de los países del G20,750.0,3851.25,750.0,0.0,0.0,2.0
"GONZÁLEZ, Pablo Gerardo",2013,Frente para la Victoria,México,HSN 1132-2013,2013-04-09 00:00:00,2013-04-02 00:00:00,4° Foro de consulta de presidentes de Parlamento de los países del G20,1745.8100558659219,10937.5,1750.0,0.0,0.0,7.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Venezuela,HSN 1386-2013,2013-04-16 00:00:00,2013-04-13 00:00:00,Elecciones presidenciales en Venezuela,748.2043096568236,4687.5,750.0,0.0,0.0,3.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Venezuela,HSN 1467-2013,2013-04-16 00:00:00,2013-04-12 00:00:00,Elecciones presidenciales en Venezuela,1000.0,5150.0,1000.0,0.0,0.0,4.0
"RODRÍGUEZ SAÁ, Adolfo",2013,PJ de San Luis,Paraguay,HSN 1413-2013,2013-04-22 00:00:00,2013-04-18 00:00:00,Elecciones Nacionales Paraguay,994.7674418604649,5133.0,0.0,0.0,5133.0,4.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Alemania,HSN 1395-2013,2013-04-27 00:00:00,2013-04-21 00:00:00,Comisión de Ambiente y Desarrollo Sustentable,2721.787709497207,17052.0,0.0,2100.0,0.0,6.0
"GONZÁLEZ, Pablo Gerardo",2013,Frente para la Victoria,Paraguay,HSN 1552-2013,2013-04-22 00:00:00,2013-04-19 00:00:00,Elecciones Nacionales Paraguay,797.4830590513069,4119.0,0.0,0.0,4119.0,3.0
"VERA, Arturo",2013,Unión Cívica Radical,Paraguay,HSN 1544-2013,2013-04-22 00:00:00,2013-04-18 00:00:00,Elecciones Nacionales Paraguay,998.4496124031008,5152.0,0.0,0.0,5152.0,4.0
"ROJKES DE ALPEROVICH, Beatriz",2013,Frente para la Victoria,Países Bajos,HSN 1424-2013,2013-05-03 00:00:00,2013-04-27 00:00:00,Acto de la reina Beatriz,2721.787709497207,17052.0,0.0,2100.0,0.0,6.0
"ESTENSSORO, María Eugenia",2013,Coalición Cívica ARI,Brasil,HSN 1784-2013,2013-05-10 00:00:00,2013-05-06 00:00:00,Fundación Red de Acciones Políticas,1250.0,6512.5,1250.0,0.0,0.0,4.0
"CABANCHIK, Samuel",2013,Coalición Cívica ARI,Italia,HSN 1775-2013,2013-05-20 00:00:00,2013-05-11 00:00:00,Encuentro Internacional y Feria Internacional del Libro,2721.787709497207,17052.0,0.0,2100.0,0.0,9.0
"MORANDINI, Norma Elena",2013,Frente Cívico De La Provincia De Córdoba,Estados Unidos,HSN 1994-2013,2013-05-19 00:00:00,2013-05-13 00:00:00,Fundación Red de Acciones Políticas,1799.9999999999998,9414.0,1800.0,0.0,0.0,6.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Ecuador,HSN 2362 2013,2013-06-30 00:00:00,2013-05-26 00:00:00,Asamblea Nacional en la ciudad de Quito,997.6057462090982,6250.0,1000.0,0.0,0.0,35.0
"DÍAZ, María Rosa",2013,Nuevo Encuentro,Perú,HSN 2519 2013,2013-06-15 00:00:00,2013-06-06 00:00:00,Taller Parlamentario sobre el Derecho a la Identidad y la Protección,1400.0,7427.0,1400.0,0.0,0.0,9.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Perú,HSN 2519 2013,2013-06-11 00:00:00,2013-06-06 00:00:00,Comitiva Oficial,1200.0,6366.0,1200.0,0.0,0.0,5.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Perú,HSN 2519 2013,2013-06-10 00:00:00,2013-06-05 00:00:00,Comitiva Oficial,1200.0,6354.0,1200.0,0.0,0.0,5.0
"BORELLO, Marta",2013,Unión Cívica Radical,Alemania,HSN 2532 2013,2013-06-15 00:00:00,2013-06-08 00:00:00,Visita Informativa sobre Ciencia y Tecnología,2721.787709497207,17052.0,0.0,2100.0,0.0,7.0
"LATORRE, Roxana",2013,Santa Fe Federal,Suiza,HSN 2494 2013,2013-06-24 00:00:00,2013-06-09 00:00:00,OIT,2094.972067039106,13125.0,2100.0,0.0,0.0,15.0
"MORALES, Gerardo",2013,Unión Cívica Radical,Suiza,HSN 2494 2013,2013-06-24 00:00:00,2013-06-15 00:00:00,OIT,2094.972067039106,13125.0,2100.0,0.0,0.0,9.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Suiza,HSN 2494 2013,2013-06-20 00:00:00,2013-06-13 00:00:00,OIT,2100.0,11193.0,2100.0,0.0,0.0,7.0
"DE LA ROSA, María Graciela",2013,Frente para la Victoria,Suiza,HSN 2494 2013,2013-06-20 00:00:00,2013-06-13 00:00:00,OIT,2100.0,11193.0,2100.0,0.0,0.0,7.0
"CORRADI DE BELTRAN, Ana María",2013,Frente para la Victoria,Suiza,HSN 2494 2013,2013-06-20 00:00:00,2013-06-13 00:00:00,OIT,2100.0,11193.0,2100.0,0.0,0.0,7.0
"ARTAZA, Eugenio",2013,Unión Cívica Radical,Suiza,HSN 2494 2013,2013-06-22 00:00:00,2013-06-15 00:00:00,OIT,2094.972067039106,13125.0,2100.0,0.0,0.0,7.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Suiza,HSN 2494 2013,2013-06-19 00:00:00,2013-06-07 00:00:00,OIT,2100.0,11140.5,2100.0,0.0,0.0,12.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Estados Unidos,HSN 2676 2013,2013-06-24 00:00:00,2013-06-19 00:00:00,Comité Especial por la Descolonizacion de las Islas Malvinas,1500.0,8032.500000000001,1500.0,0.0,0.0,5.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,El Salvador,HSN 2943 2013,2013-06-29 00:00:00,2013-06-27 00:00:00,PARLATINO,600.0,3231.0,600.0,0.0,0.0,2.0
"CIMADEVILLA, Mario Jorge",2013,Unión Cívica Radical,Paraguay,HSN 2881 2013,2013-06-24 00:00:00,2013-06-20 00:00:00,FIA (Federacion Interamericana de Abogados),852.5139664804469,5341.0,0.0,0.0,5341.0,4.0
"RIOFRÍO, Marina Raquel",2013,Frente para la Victoria,Estados Unidos,HSN 2855 2013,2013-06-24 00:00:00,2013-06-18 00:00:00,ONU,1500.0,8017.5,1500.0,0.0,0.0,6.0
"BERMEJO, Rolando Adolfo",2013,Frente para la Victoria,Chile,HSN 2777 2013,2013-06-21 00:00:00,2013-06-17 00:00:00,Foro Viviendas Autoconstruidas,797.940074906367,4261.0,0.0,0.0,4261.0,4.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Colombia,HSN 2781 2013,2013-06-25 00:00:00,2013-06-19 00:00:00,PARLATINO,799.9999999999999,4284.0,800.0,0.0,0.0,6.0
"FILMUS, Daniel Fernando",2013,Frente para la Victoria,Irlanda,HSN 2672 2013,2013-06-15 00:00:00,2013-06-11 00:00:00,Encuentro Parlamentario por la Cuestión Malvinas,2291.627469426152,12179.999999999998,0.0,1500.0,0.0,4.0
"VERANI, Pablo",2013,Unión Cívica Radical,Colombia,HSN 2730 2013,2013-07-29 00:00:00,2013-07-17 00:00:00,Olimpiadas Matemáticas,0.0,0.0,0.0,0.0,0.0,12.0
"BONGIORNO, María José",2013,Frente para la Victoria,Estados Unidos,HSN 3008 2013,2013-07-14 00:00:00,2013-07-06 00:00:00,Debate sobre Desigualdades Sociales,2094.972067039106,13125.0,2100.0,0.0,0.0,8.0
"BIANCALANI, Fabio Dario",2013,Frente para la Victoria,Lituania,HSN 2928 2013,2013-07-20 00:00:00,2013-07-13 00:00:00,Reuniones de Comisiones Parlamentarias Permanentes,2721.787709497207,17052.0,0.0,2100.0,0.0,7.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Lituania,HSN 2928 2013,2013-07-19 00:00:00,2013-07-13 00:00:00,Reuniones de Comisiones Parlamentarias Permanentes,2721.787709497207,17052.0,0.0,2100.0,0.0,6.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Colombia,HSN 3141 2013,2013-07-10 00:00:00,2013-07-07 00:00:00,Foro sobre Políticas Públicas,798.0845969672786,5000.0,800.0,0.0,0.0,3.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,España,HSN 3299 2013,2013-07-25 00:00:00,2013-07-14 00:00:00,Curso de Gestión de Gabinetes Políticos e Institucionales,2721.787709497207,17052.0,0.0,2100.0,0.0,11.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Venezuela,HSN 3361 2013,2013-07-30 00:00:00,2013-07-23 00:00:00,Reunión de Comisiones,1500.0,8197.5,1500.0,0.0,0.0,7.0
"DÍAZ, María Rosa",2013,Nuevo Encuentro,Venezuela,HSN 3410 2013,2013-07-31 00:00:00,2013-07-23 00:00:00,Encuentro Continental de la Solidaridad con Cuba,1750.0,9563.75,1750.0,0.0,0.0,8.0
"LUNA, Mirtha Teresita",2013,Frente para la Victoria,Venezuela,HSN-3409/2013,2013-07-28 00:00:00,2013-07-23 00:00:00,Reunión de la Comisión de Medio Ambiente y Turismo,1500.0,8197.5,1500.0,0.0,0.0,5.0
"BERMEJO, Rolando Adolfo",2013,Frente para la Victoria,México,HSN 3203 2013,2013-07-22 00:00:00,2013-07-16 00:00:00,Foro Internacional de Vivienda,1500.0,8160.000000000001,1500.0,0.0,0.0,6.0
"BARRIONUEVO, Walter",2013,Frente para la Victoria,Brasil,HSN 3439 2013,2013-08-09 00:00:00,2013-08-05 00:00:00,Conferencia Brasilera y Sudamericana de Medios Ciudadanos,743.8914027149319,4110.0,0.0,0.0,4110.0,4.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Uruguay,HSN 3693 2013,2013-08-16 00:00:00,2013-08-12 00:00:00,CEPAL,792.7992799279929,4404.0,0.0,0.0,4404.0,4.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2013,Frente Cívico Por Santiago,Costa Rica,HSN 3851 2013,2013-08-26 00:00:00,2013-08-22 00:00:00,Asamblea Parlamentaria de Parlaméricas,1000.0,5620.0,1000.0,0.0,0.0,4.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Costa Rica,HSN 4038 2013,2013-08-27 00:00:00,2013-08-21 00:00:00,Asamblea Parlamentaria de Parlaméricas,1200.0,6726.000000000001,1200.0,0.0,0.0,6.0
"GONZÁLEZ, Pablo Gerardo",2013,Frente para la Victoria,Costa Rica,HSN 4046 2013,2013-09-03 00:00:00,2013-08-29 00:00:00,Reunión de la Comisión de Derechos Humanos,1000.0,5665.0,1000.0,0.0,0.0,5.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Costa Rica,HSN 4170 2013,2013-09-01 00:00:00,2013-08-29 00:00:00,Reunión de Servicios Públicos y Defensa al Consumidor,800.0,4532.0,800.0,0.0,0.0,3.0
"BORELLO, Marta",2013,Unión Cívica Radical,Panamá,HSN 4045 2013,2013-09-01 00:00:00,2013-08-28 00:00:00,Reunión Extraordinaria de la Comisión de Asuntos Económicos,1250.0,7068.75,1250.0,0.0,0.0,4.0
"BIANCALANI, Fabio Dario",2013,Frente para la Victoria,Uruguay,HSN 4370 2013,2013-09-09 00:00:00,2013-09-09 00:00:00,Reunión de la Mesa Directiva,199.64943032427692,1139.0,0.0,0.0,1139.0,0.0
"ROLDAN, José María",2013,Frente para la Victoria,Rusia,HSN 4183 2013,2013-09-26 00:00:00,2013-09-16 00:00:00,International Trade Fair for Tourism Otdykh Leisure,2100.0,12043.5,2100.0,0.0,0.0,10.0
"ESCUDERO, Sonia Margarita",2013,Justicialista 8 De Octubre,Dominicana,HSN 4371 2013,2013-09-24 00:00:00,2013-09-18 00:00:00,EUROLAT,1000.0,5755.0,1000.0,0.0,0.0,6.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Panamá,HSN 4360 2013,2013-09-18 00:00:00,2013-09-14 00:00:00,Foro Parlamentario Iberoamericano,1247.0071827613726,7812.5,1250.0,0.0,0.0,4.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Panamá,HSN 4360 2013,2013-09-18 00:00:00,2013-09-13 00:00:00,Foro Parlamentario Iberoamericano,1500.0,8595.0,1500.0,0.0,0.0,5.0
"LORES, Horacio",2013,Movimiento Popular Neuquino,México,HSN 4311 2013,2013-10-03 00:00:00,2013-09-26 00:00:00,Reunión de la Comisión de Salud,1000.0,5785.0,1000.0,0.0,0.0,7.0
"LINARES, Jaime",2013,Gen,Panamá,HSN 4360 2013,2013-09-18 00:00:00,2013-09-15 00:00:00,Foro Parlamentario Iberoamericano,997.6057462090982,6250.0,1000.0,0.0,0.0,3.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,México,HSN 4645 2013,2013-09-30 00:00:00,2013-09-26 00:00:00,Reunión de Comisiones,1250.0,7231.25,1250.0,0.0,0.0,4.0
"LATORRE, Roxana",2013,Santa Fe Federal,Suiza,HSN 4720 2013,2013-10-07 00:00:00,2013-09-26 00:00:00,GRULAC,2100.0,12148.5,2100.0,0.0,0.0,11.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Suiza,HSN 4720 2013,2013-10-09 00:00:00,2013-10-04 00:00:00,GRULAC,1799.9999999999998,10467.0,1800.0,0.0,0.0,5.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Suiza,HSN 4720 2013,2013-10-09 00:00:00,2013-10-01 00:00:00,GRULAC,2100.0,12190.5,2100.0,0.0,0.0,8.0
"LINARES, Jaime",2013,Gen,Suiza,HSN 4720 2013,2013-10-09 00:00:00,2013-10-04 00:00:00,GRULAC,1799.9999999999998,10467.0,1800.0,0.0,0.0,5.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Panamá,HSN 5052 2013,2013-10-21 00:00:00,2013-10-19 00:00:00,Reuniones de las Comisiones,748.2043096568236,4687.5,750.0,0.0,0.0,2.0
"ROLDAN, José María",2013,Frente para la Victoria,Reino Unido de Gran Bretaña,HSN 5092 2013,2013-11-07 00:00:00,2013-10-31 00:00:00,World Travel Market 2013,2928.994082840237,17325.0,0.0,2100.0,0.0,7.0
"CORREGIDO, Elena Mercedes",2013,Frente para la Victoria,Reino Unido de Gran Bretaña,HSN 5191 2013,2013-11-08 00:00:00,2013-10-27 00:00:00,Seminario Parlamentario sobre la Reforma Política de Droga,1496.4086193136473,9375.0,1500.0,0.0,0.0,12.0
"CASTILLO, Oscar Aníbal",2013,Frente Cívico Y Social De Catamarca,Polonia,HSN 3875 2013,2013-11-24 00:00:00,2013-11-09 00:00:00,Conferencia Internacional sobre el Cambio Climático,2721.787709497207,17052.0,0.0,2100.0,0.0,15.0
"ESTENSSORO, María Eugenia",2013,Coalición Cívica ARI,Colombia,HSN 4914 2013,2013-11-11 00:00:00,2013-11-02 00:00:00,Encuentro Nacional del Teatro Joven y Seminario de Teatro,1396.6480446927374,8750.0,1400.0,0.0,0.0,9.0
"HIGONET, María de los Ángeles",2013,PJ La Pampa,Italia,HSN 5511 2013,2013-11-22 00:00:00,2013-11-15 00:00:00,Audiencia del papa Francisco y bomberos americanos,2844.3703085904917,17052.0,0.0,2100.0,0.0,7.0
"MARINO, Juan Carlos",2013,Unión Cívica Radical,Panamá,HSN 5585 2013,2013-12-02 00:00:00,2013-11-20 00:00:00,PARLATINO,1750.0,10587.5,1750.0,0.0,0.0,12.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Panamá,HSN 5621 2013,2013-11-24 00:00:00,2013-11-20 00:00:00,PARLATINO,1250.0,7562.5,1250.0,0.0,0.0,4.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2013,Frente Cívico Por Santiago,Panamá,HSN 5638 2013,2013-11-23 00:00:00,2013-11-21 00:00:00,PARLATINO,750.0,4545.0,750.0,0.0,0.0,2.0
"CIMADEVILLA, Mario Jorge",2013,Unión Cívica Radical,Panamá,HSN 5639 2013,2013-11-24 00:00:00,2013-11-21 00:00:00,PARLATINO,1000.0,6060.0,1000.0,0.0,0.0,3.0
"ROJKES DE ALPEROVICH, Beatriz",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-01 00:00:00,MERCOSUR,585.1556264964088,3666.0,0.0,0.0,3666.0,2.0
"CASTILLO, Oscar Aníbal",2013,Frente Cívico Y Social De Catamarca,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-02 00:00:00,MERCOSUR,198.37662337662337,1222.0,0.0,0.0,1222.0,1.0
"ROLDAN, José María",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-02 00:00:00,MERCOSUR,198.37662337662337,1222.0,0.0,0.0,1222.0,1.0
"MONTERO, Laura Gisela",2013,Unión Cívica Radical,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-02 00:00:00,MERCOSUR,198.37662337662337,1222.0,0.0,0.0,1222.0,1.0
"GODOY, Ruperto Eduardo",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-02 00:00:00,MERCOSUR,198.37662337662337,1222.0,0.0,0.0,1222.0,1.0
"BIANCALANI, Fabio Dario",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-01 00:00:00,MERCOSUR,585.1556264964088,3666.0,0.0,0.0,3666.0,2.0
"MAYANS, José Miguel Ángel",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-01 00:00:00,MERCOSUR,585.1556264964088,3666.0,0.0,0.0,3666.0,2.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-12-02 00:00:00,MERCOSUR,396.75324675324674,2444.0,0.0,0.0,2444.0,1.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-04 00:00:00,2013-12-02 00:00:00,MERCOSUR,595.1298701298701,3666.0,0.0,0.0,3666.0,2.0
"CABRAL, Salvador",2013,Frente para la Victoria,Uruguay,HSN 5874 2013,2013-12-03 00:00:00,2013-11-30 00:00:00,MERCOSUR,780.2075019952115,4888.0,0.0,0.0,4888.0,3.0
"GIUSTINIANI, Rubén Héctor",2013,Partido Socialista,Colombia,HSN 6012 2013,2013-12-15 00:00:00,2013-12-09 00:00:00,Sesión del Foro Anual Parlamentario,1400.0,8750.0,1400.0,0.0,0.0,6.0
"FELLNER, Liliana Beatriz",2013,Frente para la Victoria,Estados Unidos,HSN 6026 2013,2013-12-14 00:00:00,2013-12-09 00:00:00,Sustainable Cities Days,1800.0,11250.0,1800.0,0.0,0.0,5.0
"BERMEJO, Rolando Adolfo",2013,Frente para la Victoria,Chile,HSN 580 2014,2013-12-12 00:00:00,2013-12-10 00:00:00,Segundo Foro sobre Viviendas Autoconstruidas Subsidiadas,743.9744612928972,4661.0,0.0,0.0,4661.0,2.0
"HIGONET, María de los Ángeles",2014,PJ La Pampa,Chile,HSN 6548 2013,2014-01-10 00:00:00,2014-01-08 00:00:00,Reforma de Reglamento de GRULAC,594.5495836487509,3927.0,0.0,0.0,3927.0,2.0
"ROJKES DE ALPEROVICH, Beatriz",2014,Frente para la Victoria,Venezuela,HSN 93 2014,2014-02-01 00:00:00,2014-01-28 00:00:00,MERCOSUR,0.0,0.0,0.0,0.0,0.0,4.0
"BERMEJO, Rolando Adolfo",2014,Frente para la Victoria,Chile,HSN 430 2014,2014-02-08 00:00:00,2014-02-04 00:00:00,Feria Internacional del Papudo 2014,788.0299251870323,6320.0,0.0,0.0,6320.0,4.0
"ROLDAN, José María",2014,Frente para la Victoria,Italia,HSN 425 2014,2014-02-20 00:00:00,2014-02-12 00:00:00,Bolsa Internacional de Turismo BIT,3030.651340996168,23730.0,0.0,2100.0,0.0,8.0
"MAYANS, José Miguel Ángel",2014,Frente para la Victoria,Uruguay,HSN 588 2014,2014-02-18 00:00:00,2014-02-16 00:00:00,MERCOSUR,546.7836257309941,4675.0,0.0,0.0,4675.0,2.0
"ROJKES DE ALPEROVICH, Beatriz",2014,Frente para la Victoria,Uruguay,HSN 567 2014,2014-02-17 00:00:00,2014-02-16 00:00:00,MERCOSUR,364.44444444444434,3116.0,0.0,0.0,3116.0,1.0
"BERMEJO, Rolando Adolfo",2014,Frente para la Victoria,Estados Unidos,HSN 695 2014,2014-03-09 00:00:00,2014-03-02 00:00:00,Seminario de Apoyo de Defensa a las Autoridades Civiles en el Hemisferio Occidental,2100.0,17955.0,2100.0,0.0,0.0,7.0
"PILATTI VERGARA, María Inés",2014,Frente para la Victoria,Estados Unidos,HSN 818 2014,2014-03-12 00:00:00,2014-03-05 00:00:00,Unión Interparlamentaria y ONU Mujeres,1200.0,9480.0,1200.0,0.0,0.0,7.0
"BERTONE, Rosana Andrea",2014,Frente para la Victoria,Estados Unidos,HSN 818 2014,2014-03-12 00:00:00,2014-03-06 00:00:00,Unión Interparlamentaria y ONU Mujeres,1200.0,9480.0,1200.0,0.0,0.0,6.0
"URTUBEY, Rodolfo Julio",2014,Frente para la Victoria,Bolivia,HSN 1226 2014,2014-03-08 00:00:00,2014-03-08 00:00:00,Visita Oficial,183.859649122807,1572.0,0.0,0.0,1572.0,0.0
"GIUSTINIANI, Rubén Héctor",2014,Partido Socialista,Suiza,HSN 750 2014,2014-03-19 00:00:00,2014-03-13 00:00:00,Unión Interparlamentaria,3000.0,23730.0,0.0,2100.0,0.0,6.0
"HIGONET, María de los Ángeles",2014,PJ La Pampa,Suiza,HSN 750 2014,2014-03-19 00:00:00,2014-03-13 00:00:00,Unión Interparlamentaria,3000.0,23730.0,0.0,2100.0,0.0,6.0
"LATORRE, Roxana",2014,Santa Fe Federal,Suiza,HSN 750 2014,2014-03-24 00:00:00,2014-03-13 00:00:00,Unión Interparlamentaria,3000.0,23730.0,0.0,2100.0,0.0,11.0
"LINARES, Jaime",2014,Gen,Suiza,HSN 750 2014,2014-03-19 00:00:00,2014-03-13 00:00:00,Unión Interparlamentaria,3000.0,23730.0,0.0,2100.0,0.0,6.0
"URTUBEY, Rodolfo Julio",2014,Frente para la Victoria,Suiza,HSN 750 2014,2014-03-19 00:00:00,2014-03-13 00:00:00,Unión Interparlamentaria,3000.0,23730.0,0.0,2100.0,0.0,6.0
"CIMADEVILLA, Mario Jorge",2014,Unión Cívica Radical,Suiza,HSN 750 2014,2014-03-19 00:00:00,2014-03-14 00:00:00,Unión Interparlamentaria,2568.181818181818,20340.0,0.0,1800.0,0.0,5.0
"LEGUIZAMÓN, María Laura",2014,Frente para la Victoria,Francia,HSN 1353 2014,2014-03-25 00:00:00,2014-03-16 00:00:00,Edición 2014 Salon du Livre de París,2795.0877192982452,23898.0,0.0,2100.0,0.0,9.0
"MAYANS, José Miguel Ángel",2014,Frente para la Victoria,Uruguay,HSN 1107 2014,2014-03-18 00:00:00,2014-03-16 00:00:00,MERCOSUR,552.7485380116958,4726.0,0.0,0.0,4726.0,2.0
"RIOFRÍO, Marina Raquel",2014,Frente para la Victoria,Estados Unidos,HSN 738 2014,2014-03-26 00:00:00,2014-03-19 00:00:00,Comisión de la Condición Jurídica de la Mujer,2100.0,16737.0,2100.0,0.0,0.0,7.0
"HIGONET, María de los Ángeles",2014,PJ La Pampa,Grecia,HSN 1083 2014,2014-04-01 00:00:00,2014-03-27 00:00:00,EUROLAT,2533.0012453300133,20340.0,0.0,1800.0,0.0,5.0
