Autoridad,Año,Bloque,Destino,Expediente,Fecha_llegada,Fecha_salida,Motivo,Viaticos_Total_Dolar,Viaticos_Total_Pesos,Viaticos_dolar,Viaticos_euro,Viaticos_pesos,Duracion_viaje
"RACHED, Emilio Alberto",2012,Frente Cívico Por Santiago,Panamá,HSN 1761/2012,2012-06-01 00:00:00,2012-05-27 00:00:00,II Cumbre Cooperativa de las Américas,1244.8665297741272,6062.5,1250.0,0.0,0.0,5.0
"ESCUDERO, Sonia Margarita",2012,Justicialista 8 De Octubre,Panamá,HSN 2283/2012,2012-06-02 00:00:00,2012-05-29 00:00:00,II Cumbre Cooperativa de las Américas,1250.0,5612.5,1250.0,0.0,0.0,4.0
"CORRADI DE BELTRAN, Ana María",2012,Frente para la Victoria,Suiza,HSN 1815/2012,2012-06-17 00:00:00,2012-06-11 00:00:00,OIT,2090.6666666666665,9408.0,0.0,0.0,9408.0,6.0
"GIUSTINIANI, Rubén Héctor",2012,Partido Socialista,Suiza,HSN 1815/2012,2012-06-16 00:00:00,2012-06-11 00:00:00,OIT,1792.0,8064.0,0.0,0.0,8064.0,5.0
"LATORRE, Roxana",2012,Santa Fe Federal,Suiza,HSN 1815/2012,2012-06-26 00:00:00,2012-06-14 00:00:00,OIT,3874.057649667406,17472.0,0.0,0.0,17472.0,12.0
"HIGONET, María de los Ángeles",2012,PJ La Pampa,México,HSN 2323/2012,2012-07-03 00:00:00,2012-06-26 00:00:00,Misión Observación Electoral de la Confederación Parlamentraria (COPA),1745.2538631346576,7906.0,700.0,0.0,4735.0,7.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2012,Frente Cívico Por Santiago,México,HSN 2227/2012,2012-07-03 00:00:00,2012-06-28 00:00:00,Misión Observación Electoral de la Confederación Parlamentraria (COPA),1494.0397350993376,6768.0,600.0,0.0,4050.0,5.0
"FELLNER, Liliana Beatriz",2012,Frente para la Victoria,México,HSN 2227/2012,2012-07-03 00:00:00,2012-06-27 00:00:00,Misión Observación Electoral de la Confederación Parlamentraria (COPA),1494.0397350993376,6768.0,600.0,0.0,4050.0,6.0
"DÍAZ, María Rosa",2012,Nuevo Encuentro,Países Bajos,HSN 2102/2012,2012-07-02 00:00:00,2012-06-25 00:00:00,"Concurso Literario ""De Ana Frank a nuestros días""",886.9757174392937,4018.0,0.0,700.0,0.0,7.0
"ARTAZA, Eugenio",2012,Unión Cívica Radical,Perú,HSN 2238/2012,2012-06-27 00:00:00,2012-06-24 00:00:00,"Reuniones de las Comisiones Equidad, Género, Niñez y Juventud",767.9671457905544,3740.0,400.0,0.0,1800.0,3.0
"LOPEZ, Osvaldo Ramón",2012,Nuevo Encuentro,Perú,HSN 2238/2012,2012-06-27 00:00:00,2012-06-23 00:00:00,"Reuniones de las Comisiones Equidad, Género, Niñez y Juventud",959.958932238193,4675.0,500.0,0.0,2250.0,4.0
"MONTERO, Laura Gisela",2012,Unión Cívica Radical,Brasil,HSN 2178/2012,2012-06-25 00:00:00,2012-06-18 00:00:00,Audiencia Pública Relaciones Comerciales Brasil-Argentina,1750.0,7892.5,1750.0,0.0,0.0,7.0
"CORRADI DE BELTRAN, Ana María",2012,Frente para la Victoria,México,HSN 2799/2012,2012-07-04 00:00:00,2012-06-27 00:00:00,Misión Observación Electoral de la Confederación Parlamentraria (COPA),1496.026490066225,6777.0,600.0,0.0,4059.0,7.0
"LUNA, Mirtha Teresita",2012,Frente para la Victoria,Brasil,HSN 2673/2012,2012-06-24 00:00:00,2012-06-19 00:00:00,ONU RIO+20,1250.0,5637.5,1250.0,0.0,0.0,5.0
"RUIZ DIAZ, Elsa",2012,Frente para la Victoria,Panamá,HSN 2101/2012,2012-06-23 00:00:00,2012-06-17 00:00:00,Conferencia Interparlamentaria,1742.8131416837784,8487.5,1750.0,0.0,0.0,6.0
"GIUSTINIANI, Rubén Héctor",2012,Partido Socialista,Brasil,HSN 1979/2012,2012-06-23 00:00:00,2012-06-19 00:00:00,ONU RIO+20,1241.6851441241686,5600.0,0.0,0.0,5600.0,4.0
"MORANDINI, Norma Elena",2012,Frente Cívico De La Provincia De Córdoba,Brasil,HSN 2103/2012,2012-06-24 00:00:00,2012-06-17 00:00:00,ONU RIO+20,746.9199178644764,3637.5,750.0,0.0,0.0,7.0
"HIGONET, María de los Ángeles",2012,PJ La Pampa,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"DÍAZ, María Rosa",2012,Nuevo Encuentro,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2012,Frente Cívico Por Santiago,Estados Unidos,HSN 2072/2012,2012-06-18 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,5.0
"CABANCHIK, Samuel",2012,Coalición Cívica ARI,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"ROLDAN, José María",2012,Frente para la Victoria,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"RODRÍGUEZ SAÁ, Adolfo",2012,PJ de San Luis,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"COLAZO, Mario Jorge",2012,Frente para la Victoria,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"GODOY, Ruperto Eduardo",2012,Frente para la Victoria,Estados Unidos,HSN 2072/2012,2012-06-16 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,600.0,2700.0,600.0,0.0,0.0,3.0
"LINARES, Jaime",2012,Gen,Estados Unidos,HSN 2072/2012,2012-06-16 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1200.0,5400.0,1200.0,0.0,0.0,3.0
"PICHETTO, Miguel  Ángel",2012,Frente para la Victoria,Estados Unidos,HSN 2072/2012,2012-06-20 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,2100.0,9450.0,2100.0,0.0,0.0,7.0
"FILMUS, Daniel Fernando",2012,Frente para la Victoria,Estados Unidos,HSN 2072/2012,2012-06-17 00:00:00,2012-06-13 00:00:00,Comité Especial de Descolonización ONU,1500.0,6750.0,1500.0,0.0,0.0,4.0
"CIMADEVILLA, Mario Jorge",2012,Unión Cívica Radical,Ecuador,HSN 2135/2012,2012-07-08 00:00:00,2012-07-03 00:00:00,Seminario Internacional de Energías Alternativas y Ambiente,1193.3920704845814,5418.0,600.0,0.0,2694.0,5.0
"ROLDAN, José María",2012,Frente para la Victoria,Italia,HSN 2302/2012,2012-07-20 00:00:00,2012-07-10 00:00:00,Coloquio Internacional entre la Diversidad Cultural y Bien Patrimonial,2609.230769230769,11872.0,0.0,700.0,7882.0,10.0
"BORELLO, Marta",2012,Unión Cívica Radical,Panamá,HSN 2674/2012,2012-07-30 00:00:00,2012-07-24 00:00:00,Parlatino,1200.0,5496.0,1200.0,0.0,0.0,6.0
"LOPEZ, Osvaldo Ramón",2012,Nuevo Encuentro,Panamá,HSN 2674/2012,2012-08-02 00:00:00,2012-07-21 00:00:00,Parlatino,796.7145790554414,3880.0,800.0,0.0,0.0,12.0
"RACHED, Emilio Alberto",2012,Frente Cívico Por Santiago,Ecuador,HSN 2798/2012,2012-08-04 00:00:00,2012-07-30 00:00:00,Reunión Extraordinaria de la Comisión de Seguridad Ciudadana,800.0,3672.0,800.0,0.0,0.0,5.0
"GODOY, Ruperto Eduardo",2012,Frente para la Victoria,Francia,HSN 3242/2012,2012-08-28 00:00:00,2012-08-23 00:00:00,Estivales Citoyennes du Front de Gauche,2254.8596112311016,10440.0,0.0,1800.0,0.0,5.0
"HIGONET, María de los Ángeles",2012,PJ La Pampa,Brasil,HSN 3362/2012,2012-08-30 00:00:00,2012-08-28 00:00:00,Parlatino,750.0,3479.9999999999995,750.0,0.0,0.0,2.0
