id,label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
0,jxssicatran,0,1,1,0.0,1.0,1.0,0
1,maia7210,0,1,1,0.0,1.0,1.0,0
2,Ksofkimd1,0,1,1,0.0,1.0,1.0,0
3,FernandezJuana_,0,1,1,0.0,1.0,1.0,0
4,issuesyam,0,1,1,0.0,1.0,1.0,0
5,lamorza78,0,1,1,0.0,1.0,1.0,0
6,monicagalbo,0,1,1,0.0,1.0,1.0,0
7,MNA_SanIsidro,1,4,5,1.0,4.0,5.0,0
8,DangereuseProd,0,3,3,0.0,3.0,3.0,0
9,horaciodealva,0,1,1,0.0,1.0,1.0,0
10,JUANGROSS,0,5,5,0.0,5.0,5.0,0
11,LilianPardas,0,1,1,0.0,1.0,1.0,0
12,fedeacademdq,0,4,4,0.0,4.0,4.0,0
13,alfredovitale1,0,1,1,0.0,1.0,1.0,0
14,Borkan_0768,0,1,1,0.0,1.0,1.0,0
15,AureliaGroup,0,1,1,0.0,1.0,1.0,0
16,gajeelflying,0,1,1,0.0,1.0,1.0,0
17,jordan36m,0,1,1,0.0,1.0,1.0,0
18,apudx,0,1,1,0.0,1.0,1.0,0
19,Artemisfow,0,6,6,0.0,6.0,6.0,0
20,FedeBerdullas,0,1,1,0.0,1.0,1.0,0
21,famlip,0,1,1,0.0,1.0,1.0,0
22,julianSkay,0,1,1,0.0,1.0,1.0,0
23,lupelalinda,0,1,1,0.0,1.0,1.0,0
24,lauahernandez,0,9,9,0.0,11.0,11.0,131
25,NoravPalacios,0,1,1,0.0,1.0,1.0,0
26,BoringMundanes,0,2,2,0.0,2.0,2.0,0
27,pacmandoo33,0,1,1,0.0,1.0,1.0,0
28,DamianStepan,0,3,3,0.0,3.0,3.0,0
29,BlueCherrybomb,0,2,2,0.0,2.0,2.0,0
30,CassidyFerguson,0,1,1,0.0,1.0,1.0,0
31,MaxiRaimondi,0,1,1,0.0,1.0,1.0,0
32,RDRL_py,0,2,2,0.0,3.0,3.0,0
33,selfhelp5,0,1,1,0.0,1.0,1.0,0
34,agustinbru,0,1,1,0.0,1.0,1.0,0
35,apellegrini2508,0,1,1,0.0,1.0,1.0,0
36,MaguiNaiara,0,1,1,0.0,1.0,1.0,0
37,DiegoGabSanchez,0,2,2,0.0,2.0,2.0,0
38,somos_pilar,1,13,14,1.0,15.0,16.0,147
39,LEBasterra,0,3,3,0.0,3.0,3.0,0
40,GuillermoVol,0,2,2,0.0,2.0,2.0,0
41,crwilley,0,1,1,0.0,1.0,1.0,0
42,14_larsen,0,1,1,0.0,1.0,1.0,0
43,pabloirossi,0,11,11,0.0,13.0,13.0,131
44,DestFitch,0,1,1,0.0,1.0,1.0,0
45,PacoGaribaldi,0,13,13,0.0,14.0,14.0,0
46,ManuBarria_CARP,0,2,2,0.0,2.0,2.0,0
47,perfumealibro,0,10,10,0.0,22.0,22.0,131
48,RieOgasawara17,0,1,1,0.0,1.0,1.0,0
49,aramayorossy,0,3,3,0.0,3.0,3.0,0
50,LDupont4Poco,0,1,1,0.0,1.0,1.0,0
51,ofe_lia_tito,0,1,1,0.0,1.0,1.0,0
52,lidiaolivera2,0,2,2,0.0,2.0,2.0,0
53,JuliHenriquez_,0,1,1,0.0,1.0,1.0,0
54,pedi_suzanne,0,1,1,0.0,1.0,1.0,0
55,Ordonezrj,0,2,2,0.0,2.0,2.0,0
56,ThoughtofBoJack,0,1,1,0.0,1.0,1.0,0
57,adelapuerca,0,5,5,0.0,5.0,5.0,0
58,MariaSilgrassi,0,11,11,0.0,22.0,22.0,131
59,luisbrunno,0,3,3,0.0,3.0,3.0,0
60,kamar_ana,0,1,1,0.0,1.0,1.0,0
61,juanDanielmio1,0,2,2,0.0,3.0,3.0,0
62,Paulinavelezok,0,1,1,0.0,1.0,1.0,0
63,steven_bayes,0,2,2,0.0,2.0,2.0,0
64,orianaabelen,0,1,1,0.0,1.0,1.0,0
65,luciana_abg,0,1,1,0.0,1.0,1.0,0
66,SofiFasa,0,2,2,0.0,2.0,2.0,0
67,diegoush01,0,3,3,0.0,4.0,4.0,0
68,BrisaGodoyy,0,1,1,0.0,1.0,1.0,0
69,lucylococo,0,1,1,0.0,1.0,1.0,0
70,etiennenne,0,2,2,0.0,2.0,2.0,0
71,Maryjacq88,0,1,1,0.0,1.0,1.0,0
72,_agostinalara,0,1,1,0.0,1.0,1.0,0
73,rosilez53,0,7,7,0.0,8.0,8.0,131
74,JuanFranconeri,0,1,1,0.0,1.0,1.0,0
75,XovekMty,0,1,1,0.0,1.0,1.0,0
76,LuckasPias,0,2,2,0.0,2.0,2.0,0
77,roxyasensio,0,2,2,0.0,2.0,2.0,0
78,EmilianoAMolina,0,1,1,0.0,1.0,1.0,0
79,unareventada,0,2,2,0.0,2.0,2.0,0
80,iGnarl,0,1,1,0.0,1.0,1.0,0
81,AnaNo_duerme,0,2,2,0.0,2.0,2.0,0
82,VAMOSBOCALCDSM,0,1,1,0.0,1.0,1.0,0
83,Loza3Pilar,0,2,2,0.0,2.0,2.0,0
84,FerSchachner,0,1,1,0.0,1.0,1.0,0
85,NicoAlejandroG,0,1,1,0.0,1.0,1.0,0
86,villlarroel,0,2,2,0.0,2.0,2.0,0
87,MatiLaguzzi,0,1,1,0.0,1.0,1.0,0
88,luisnovaresio,0,3,3,0.0,3.0,3.0,0
89,AnitaFor_Ever,0,3,3,0.0,3.0,3.0,0
90,duhgurlz,0,1,1,0.0,1.0,1.0,0
91,MusaMercedes,0,4,4,0.0,4.0,4.0,0
92,essbeeaych,0,1,1,0.0,1.0,1.0,0
93,caaamilaortiz03,0,1,1,0.0,1.0,1.0,0
94,aniigoldman,0,1,1,0.0,1.0,1.0,0
95,EppurseMuove,0,1,1,0.0,1.0,1.0,0
96,aurelio9social,0,1,1,0.0,1.0,1.0,0
97,FranciscoRossi_,0,3,3,0.0,5.0,5.0,0
98,AudreyBTannen,0,1,1,0.0,1.0,1.0,0
99,mariboyer,0,2,2,0.0,2.0,2.0,0
100,Elberg_amocha,0,2,2,0.0,2.0,2.0,0
101,lamanchaladrona,0,1,1,0.0,1.0,1.0,0
102,lauren127_,0,1,1,0.0,1.0,1.0,0
103,josepuy,0,1,1,0.0,1.0,1.0,0
104,GabrielaDivita,0,9,9,0.0,9.0,9.0,131
105,EleCavallo,0,1,1,0.0,1.0,1.0,0
106,valegenneroo,0,2,2,0.0,2.0,2.0,0
107,litopueyo,0,2,2,0.0,2.0,2.0,0
108,boinablancaucr,0,18,18,0.0,18.0,18.0,173
109,avalcha,0,1,1,0.0,2.0,2.0,0
110,MariaSool16,0,1,1,0.0,1.0,1.0,0
111,marianamooo,0,1,1,0.0,1.0,1.0,0
112,Cecilia0001,0,1,1,0.0,1.0,1.0,0
113,Solitamm,0,3,3,0.0,3.0,3.0,0
114,mucketymucks,0,1,1,0.0,1.0,1.0,0
115,BloodyDeby,0,2,2,0.0,2.0,2.0,0
116,Lokis_7w7,0,2,2,0.0,2.0,2.0,0
117,alejandropa23,0,6,6,0.0,13.0,13.0,0
118,_florbertolino,0,1,1,0.0,1.0,1.0,0
119,DelegacionRioIV,0,3,3,0.0,3.0,3.0,0
120,MaraLauraBosett,0,1,1,0.0,1.0,1.0,0
121,belenhuber,0,1,1,0.0,1.0,1.0,0
122,adribidondo1,0,2,2,0.0,3.0,3.0,0
123,ChimmiFlow,0,1,1,0.0,1.0,1.0,0
124,joseluquese,0,1,1,0.0,1.0,1.0,0
125,lu_pitufina,0,3,3,0.0,3.0,3.0,0
126,ElizaAnnie,0,2,2,0.0,2.0,2.0,0
127,Republicana2017,0,5,5,0.0,5.0,5.0,0
128,prjx,0,1,1,0.0,1.0,1.0,0
129,natialta,0,1,1,0.0,1.0,1.0,0
130,DeboraMasturini,0,4,4,0.0,4.0,4.0,0
131,PatrickBrosnan2,0,1,1,0.0,1.0,1.0,0
132,emiliaperez27,0,1,1,0.0,1.0,1.0,0
133,MarthaRomanEspn,0,2,2,0.0,2.0,2.0,0
134,HoodBitchShit,0,1,1,0.0,2.0,2.0,0
135,fullofbalogna,0,1,1,0.0,1.0,1.0,0
136,2014Franko,0,1,1,0.0,1.0,1.0,0
137,Jiimuuu,0,1,1,0.0,1.0,1.0,0
138,X_E_U_S,0,1,1,0.0,1.0,1.0,0
139,ishatski,0,1,1,0.0,1.0,1.0,0
140,nudanujin,0,1,1,0.0,1.0,1.0,0
141,Abitoo1,0,1,1,0.0,1.0,1.0,0
142,LuaBelu,0,1,1,0.0,1.0,1.0,0
143,RohrerVickie,0,1,1,0.0,1.0,1.0,0
144,aarondelverde,0,3,3,0.0,3.0,3.0,0
145,noticieronueve,0,2,2,0.0,2.0,2.0,0
146,KeevGastaldello,0,1,1,0.0,1.0,1.0,0
147,JuliRoldan99,0,1,1,0.0,1.0,1.0,0
148,stinMk,0,1,1,0.0,1.0,1.0,0
149,jermaine2502,0,1,1,0.0,1.0,1.0,0
150,ClariMurray,0,3,3,0.0,3.0,3.0,0
151,Bill_Yates_,0,1,1,0.0,1.0,1.0,0
152,RebelinAluminio,0,3,3,0.0,3.0,3.0,0
153,EdgarLencina1,0,1,1,0.0,1.0,1.0,0
154,leomaratea,0,9,9,0.0,10.0,10.0,173
155,Rodocrosita01,0,4,4,0.0,4.0,4.0,0
156,podestagraciel1,1,9,10,1.0,11.0,12.0,170
157,HerreraHernan,0,1,1,0.0,1.0,1.0,0
158,leli_mai,0,2,2,0.0,2.0,2.0,0
159,_elainemakeup,0,1,1,0.0,1.0,1.0,0
160,PrensaSL,0,2,2,0.0,2.0,2.0,0
161,COPPPALJuvenil,0,2,2,0.0,2.0,2.0,0
162,JeSuiJohnDee,0,42,42,0.0,53.0,53.0,131
163,BukiWilliams,0,1,1,0.0,1.0,1.0,0
164,MaarSpagnuolo,0,1,1,0.0,1.0,1.0,0
165,FedeCate,0,14,14,0.0,16.0,16.0,91
166,SamuuGcat,0,1,1,0.0,1.0,1.0,0
167,camicasalino,0,1,1,0.0,1.0,1.0,0
168,williematzkin,0,1,1,0.0,1.0,1.0,0
169,FortunatoRomina,0,1,1,0.0,1.0,1.0,0
170,xjxbitchxjx,0,1,1,0.0,1.0,1.0,0
171,MicolJuli,0,2,2,0.0,2.0,2.0,0
172,R5SOSTYLINSON,0,1,1,0.0,1.0,1.0,0
173,ali08931,0,1,1,0.0,1.0,1.0,0
174,lucilululou,0,1,1,0.0,1.0,1.0,0
175,Yuri_Koslov,0,1,1,0.0,1.0,1.0,0
176,BLHIII,0,1,1,0.0,1.0,1.0,0
177,Natalia79207687,0,3,3,0.0,4.0,4.0,0
178,CandeeLg,0,1,1,0.0,1.0,1.0,0
179,ate_sofia,0,1,1,0.0,1.0,1.0,0
180,flaviasanchez99,0,1,1,0.0,1.0,1.0,0
181,bambimet,0,3,3,0.0,4.0,4.0,0
182,gonzaguilera98,0,2,2,0.0,2.0,2.0,0
183,czorraindo1,0,3,3,0.0,3.0,3.0,0
184,alejo27p,0,4,4,0.0,5.0,5.0,0
185,sebastianudo,0,4,4,0.0,4.0,4.0,0
186,JayaSarath1,0,2,2,0.0,2.0,2.0,0
187,CastilloGaspar,0,1,1,0.0,1.0,1.0,0
188,osvaldogiorgio,0,4,4,0.0,4.0,4.0,0
189,quesita9,0,15,15,0.0,16.0,16.0,131
190,itsCR,0,1,1,0.0,1.0,1.0,0
191,majo17112009,0,5,5,0.0,5.0,5.0,0
192,rublasmo,0,1,1,0.0,1.0,1.0,0
193,memis_oyola,0,1,1,0.0,1.0,1.0,0
194,CosMeFuLaNiTo,0,5,5,0.0,5.0,5.0,0
195,Macadenapoli,0,1,1,0.0,1.0,1.0,0
196,DizVega,0,2,2,0.0,2.0,2.0,0
197,CasanovasRichy,0,2,2,0.0,2.0,2.0,0
198,Franciscobordi4,0,1,1,0.0,1.0,1.0,0
199,CarrizoJota,0,1,1,0.0,1.0,1.0,0
200,nangobusta,1,124,125,1.0,124.0,125.0,91
201,valley_bob,0,1,1,0.0,1.0,1.0,0
202,_kerenhappuch,0,1,1,0.0,1.0,1.0,0
203,in_Kauto,0,25,25,0.0,25.0,25.0,91
204,SofiaLppz,0,1,1,0.0,1.0,1.0,0
205,Aracb2000,0,2,2,0.0,2.0,2.0,0
206,luulamae,0,1,1,0.0,1.0,1.0,0
207,ga_parodi,0,1,1,0.0,1.0,1.0,0
208,danipc58,0,4,4,0.0,4.0,4.0,0
209,JORGEMORGAN13,0,2,2,0.0,4.0,4.0,0
210,damianzarate1,0,4,4,0.0,6.0,6.0,0
211,Besavel,0,1,1,0.0,1.0,1.0,0
212,RosyAxelera,0,1,1,0.0,1.0,1.0,0
213,MarceManteiga4,0,1,1,0.0,1.0,1.0,0
214,MizQue,0,1,1,0.0,1.0,1.0,0
215,intimanassero,0,1,1,0.0,1.0,1.0,0
216,PiaCzernyk,0,1,1,0.0,1.0,1.0,0
217,MHodin_Design,0,1,1,0.0,1.0,1.0,0
218,proproriocuarto,0,6,6,0.0,6.0,6.0,0
219,MeeelRose,0,1,1,0.0,1.0,1.0,0
220,lukechetito,0,1,1,0.0,1.0,1.0,0
221,TamaraaAng,0,1,1,0.0,1.0,1.0,0
222,toryknight1401,0,5,5,0.0,5.0,5.0,0
223,Jovana32775263,0,1,1,0.0,1.0,1.0,0
224,manereig20,0,1,1,0.0,1.0,1.0,0
225,Omar_JRondon,0,1,1,0.0,1.0,1.0,0
226,aryttit,0,9,9,0.0,9.0,9.0,131
227,moniqalvarez,0,2,2,0.0,2.0,2.0,0
228,Jime_tegui,0,1,1,0.0,1.0,1.0,0
229,TeamInstinto_AR,0,1,1,0.0,1.0,1.0,0
230,Micaela53_699,0,1,1,0.0,1.0,1.0,0
231,hollmarce,0,17,17,0.0,24.0,24.0,131
232,lucianofabian8,0,4,4,0.0,5.0,5.0,0
233,FoderoneZ,0,2,2,0.0,2.0,2.0,0
234,fabysoul,0,4,4,0.0,4.0,4.0,0
235,Lara_Imhof,0,1,1,0.0,1.0,1.0,0
236,MariOlexyn,0,1,1,0.0,1.0,1.0,0
237,roxanalaciar,0,1,1,0.0,1.0,1.0,0
238,facuuuxeneize,0,2,2,0.0,2.0,2.0,0
239,rosariognzl,0,1,1,0.0,1.0,1.0,0
240,AIRproducciones,0,1,1,0.0,1.0,1.0,0
241,NxxmxCxrnxcxr,0,1,1,0.0,1.0,1.0,0
242,SoGalleguillos,0,1,1,0.0,1.0,1.0,0
243,ljndr71,0,2,2,0.0,2.0,2.0,0
244,MaritaAguirre9,0,3,3,0.0,3.0,3.0,0
245,TitoOscarNovo,0,2,2,0.0,2.0,2.0,0
246,staymignone,0,1,1,0.0,1.0,1.0,0
247,necocheaciudad,0,1,1,0.0,1.0,1.0,0
248,figueromy,0,4,4,0.0,4.0,4.0,0
249,muguruzafm,0,1,1,0.0,1.0,1.0,0
250,noranietocid,0,1,1,0.0,1.0,1.0,0
251,yaraconchavez,0,1,1,0.0,1.0,1.0,0
252,emiicocco1,0,1,1,0.0,1.0,1.0,0
253,RAULSANCAY,0,1,1,0.0,1.0,1.0,0
254,JuanMS3,0,1,1,0.0,1.0,1.0,0
255,None84,0,1,1,0.0,1.0,1.0,0
256,aderetzi_,0,1,1,0.0,1.0,1.0,0
257,TabaresJoseL,0,1,1,0.0,1.0,1.0,0
258,alimackita,0,3,3,0.0,3.0,3.0,0
259,Kathyjones2156,0,1,1,0.0,1.0,1.0,0
260,AgoosAle1,0,1,1,0.0,1.0,1.0,0
261,Emiluque2,0,1,1,0.0,1.0,1.0,0
262,nay_laurens,0,1,1,0.0,1.0,1.0,0
263,missarrgentina,0,4,4,0.0,4.0,4.0,0
264,Mario_canaviri,0,1,1,0.0,1.0,1.0,0
265,tshashi01,0,1,1,0.0,1.0,1.0,0
266,martinperez116,0,1,1,0.0,1.0,1.0,0
267,el_telegrafo,0,1,1,0.0,1.0,1.0,0
268,valdivip,0,1,1,0.0,1.0,1.0,0
269,luthorsclone,0,1,1,0.0,1.0,1.0,0
270,claufernandezar,0,5,5,0.0,6.0,6.0,0
271,DonGe4316,0,1,1,0.0,1.0,1.0,0
272,Lulimazzaglia,0,1,1,0.0,1.0,1.0,0
273,RepAdamSchiff,0,12,12,0.0,12.0,12.0,120
274,goodfoodquest,0,1,1,0.0,1.0,1.0,0
275,Rocioo_lpda,0,1,1,0.0,1.0,1.0,0
276,marinaghueso,0,3,3,0.0,3.0,3.0,0
277,joselo_oficial,0,1,1,0.0,1.0,1.0,0
278,BarbeiteJulieta,0,1,1,0.0,1.0,1.0,0
279,mariosegovia,0,1,1,0.0,2.0,2.0,0
280,Frann8ab284901,0,1,1,0.0,1.0,1.0,0
281,fabiolabubble,0,1,1,0.0,1.0,1.0,0
282,natilorenzati,0,1,1,0.0,1.0,1.0,0
283,NanitoCavs,0,1,1,0.0,1.0,1.0,0
284,radioulaplata,2,12,14,4.0,15.0,19.0,47
285,carolacaracola5,0,1,1,0.0,1.0,1.0,0
286,_nxza,0,1,1,0.0,1.0,1.0,0
287,GonzaloNogue,0,2,2,0.0,2.0,2.0,0
288,CamiKarwala,0,1,1,0.0,1.0,1.0,0
289,SamWeb13,0,1,1,0.0,1.0,1.0,0
290,RVAwonk,0,1,1,0.0,1.0,1.0,0
291,allthelovexjuli,0,1,1,0.0,1.0,1.0,0
292,otra_flor,0,1,1,0.0,1.0,1.0,0
293,micccasosa,0,2,2,0.0,2.0,2.0,0
294,roroldann,0,1,1,0.0,1.0,1.0,0
295,thumbsclifford,0,1,1,0.0,1.0,1.0,0
296,altagraciataka3,0,5,5,0.0,5.0,5.0,0
297,JUAKO79036742,0,1,1,0.0,1.0,1.0,0
298,joacovilla_,0,1,1,0.0,2.0,2.0,0
299,jovenesprolomas,0,4,4,0.0,4.0,4.0,0
300,nivelmada,0,1,1,0.0,1.0,1.0,0
301,DiputadosFPV_pj,0,8,8,0.0,8.0,8.0,91
302,BederHerrera,1,5,6,1.0,5.0,6.0,0
303,LauroSamaniegoA,0,1,1,0.0,1.0,1.0,0
304,KellySuire,0,3,3,0.0,3.0,3.0,0
305,MaradonaConDs,0,4,4,0.0,5.0,5.0,0
306,fcasaux,0,2,2,0.0,2.0,2.0,0
307,arieljuarez,0,2,2,0.0,2.0,2.0,0
308,sbtkd,0,1,1,0.0,1.0,1.0,0
309,AgusLopezLotero,0,11,11,0.0,11.0,11.0,91
310,aal0623,0,2,2,0.0,2.0,2.0,0
311,dspstxplco,0,1,1,0.0,1.0,1.0,0
312,CruzadoDePeron,0,1,1,0.0,1.0,1.0,0
313,AgusGimenez96,0,2,2,0.0,2.0,2.0,0
314,mayersebastian,0,1,1,0.0,1.0,1.0,0
315,MKEChristian,0,1,1,0.0,1.0,1.0,0
316,Lola94513,0,1,1,0.0,1.0,1.0,0
317,gomeroactor,0,2,2,0.0,2.0,2.0,0
318,DelaGuardiaImp,0,2,2,0.0,3.0,3.0,0
319,kevinvegasnv,0,1,1,0.0,1.0,1.0,0
320,natalier07232,0,2,2,0.0,2.0,2.0,0
321,Hello_Popis,0,2,2,0.0,2.0,2.0,0
322,Divo216,0,1,1,0.0,1.0,1.0,0
323,fedeviniegra,0,2,2,0.0,2.0,2.0,0
324,yun_besig,0,5,5,0.0,5.0,5.0,0
325,MicoBaez,0,3,3,0.0,4.0,4.0,0
326,rickylucas_123,0,1,1,0.0,1.0,1.0,0
327,Marrrx,0,1,1,0.0,1.0,1.0,0
328,icardo8,0,1,1,0.0,1.0,1.0,0
329,CeciNeguembor,0,25,25,0.0,29.0,29.0,131
330,FacuCinefilo,0,1,1,0.0,1.0,1.0,0
331,nair_pupi,0,1,1,0.0,1.0,1.0,0
332,fedecruces,0,1,1,0.0,1.0,1.0,0
333,PabloMagistris,0,2,2,0.0,2.0,2.0,0
334,h2ososexecappi,0,2,2,0.0,2.0,2.0,0
335,denolemon,0,1,1,0.0,1.0,1.0,0
336,Soybelurojas,0,1,1,0.0,1.0,1.0,0
337,_PaulaAguirre,0,1,1,0.0,1.0,1.0,0
338,WendyD86,0,1,1,0.0,1.0,1.0,0
339,VizzoneMv,0,2,2,0.0,2.0,2.0,0
340,lolita_sedam,0,5,5,0.0,5.0,5.0,0
341,msbsol,0,2,2,0.0,2.0,2.0,0
342,nahu_ifran,0,2,2,0.0,5.0,5.0,0
343,juancjuarez11,0,1,1,0.0,1.0,1.0,0
344,natalia_pereez,0,1,1,0.0,1.0,1.0,0
345,CESARTRANQUILL1,0,9,9,0.0,9.0,9.0,18
346,HPometti,0,3,3,0.0,3.0,3.0,0
347,tecabe1974,0,1,1,0.0,1.0,1.0,0
348,juansbazan,0,2,2,0.0,2.0,2.0,0
349,SimoonHaddad,0,1,1,0.0,1.0,1.0,0
350,CINUlima,0,1,1,0.0,1.0,1.0,0
351,__labiosdecafe,0,1,1,0.0,1.0,1.0,0
352,FarinaDaniel,0,6,6,0.0,7.0,7.0,0
353,CarolinaBelenB,0,1,1,0.0,1.0,1.0,0
354,Just_Kasey027,0,1,1,0.0,1.0,1.0,0
355,roldan_sol25,0,1,1,0.0,1.0,1.0,0
356,lucho_el_32,0,1,1,0.0,1.0,1.0,0
357,mariavidela296,0,4,4,0.0,4.0,4.0,0
358,JuanmaMicheloni,0,1,1,0.0,1.0,1.0,0
359,EleonoraPVivas,0,3,3,0.0,3.0,3.0,0
360,boca0315,0,1,1,0.0,1.0,1.0,0
361,ElaineQC,0,1,1,0.0,1.0,1.0,0
362,mmgn2885,0,1,1,0.0,1.0,1.0,0
363,CamilaRenieri,0,1,1,0.0,1.0,1.0,0
364,abigaildankwah,0,1,1,0.0,1.0,1.0,0
365,MartinFink97,0,1,1,0.0,1.0,1.0,0
366,Adri01961,0,7,7,0.0,9.0,9.0,131
367,supersoultess,0,1,1,0.0,1.0,1.0,0
368,sahipantaleone,0,1,1,0.0,1.0,1.0,0
369,enriqueiriart,0,1,1,0.0,1.0,1.0,0
370,normymdq,1,23,24,2.0,28.0,30.0,131
371,LiliAndreaG,0,1,1,0.0,1.0,1.0,0
372,daniroggero,0,3,3,0.0,3.0,3.0,0
373,Mati18_97,0,1,1,0.0,1.0,1.0,0
374,blackmamba2214,0,2,2,0.0,2.0,2.0,0
375,David_Huff24,0,1,1,0.0,1.0,1.0,0
376,celesviera,0,1,1,0.0,1.0,1.0,0
377,Soloanitapar,0,2,2,0.0,2.0,2.0,0
378,ricadangelo,1,1,2,1.0,1.0,2.0,0
379,eweLilyewe,0,1,1,0.0,1.0,1.0,0
380,NikkiAbdulai,0,1,1,0.0,1.0,1.0,0
381,DrClonazepam,0,1,1,0.0,1.0,1.0,0
382,MelSloop,0,4,4,0.0,4.0,4.0,0
383,dejania97_,0,1,1,0.0,1.0,1.0,0
384,CarlosM25547984,0,1,1,0.0,2.0,2.0,0
385,GeminisDa,0,9,9,0.0,12.0,12.0,91
386,MaizFilms,0,1,1,0.0,1.0,1.0,0
387,YanGmz_,0,2,2,0.0,2.0,2.0,0
388,ALEXSOLANO591,0,1,1,0.0,1.0,1.0,0
389,pgimenita,0,1,1,0.0,1.0,1.0,0
390,lelequintana,0,2,2,0.0,2.0,2.0,0
391,gia_cristina,0,16,16,0.0,28.0,28.0,131
392,JADEL6,0,1,1,0.0,1.0,1.0,0
393,JoacoBorda,0,1,1,0.0,1.0,1.0,0
394,vanblux,0,17,17,0.0,18.0,18.0,91
395,JackieVortex,0,1,1,0.0,1.0,1.0,0
396,leewah,0,1,1,0.0,1.0,1.0,0
397,snowdrop284,0,1,1,0.0,1.0,1.0,0
398,collias_zora,0,5,5,0.0,5.0,5.0,0
399,EscobarCris1,0,2,2,0.0,2.0,2.0,0
400,aqualina77,0,1,1,0.0,2.0,2.0,0
401,luvol_ok,0,1,1,0.0,1.0,1.0,0
402,_AdrianMorris12,0,2,2,0.0,2.0,2.0,0
403,LauHLVS,0,1,1,0.0,1.0,1.0,0
404,psreboredo,0,2,2,0.0,2.0,2.0,0
405,maver08,0,5,5,0.0,5.0,5.0,0
406,GadeaMaru,0,1,1,0.0,1.0,1.0,0
407,Milucarranza,0,1,1,0.0,1.0,1.0,0
408,Carlosfabianl17,0,1,1,0.0,1.0,1.0,0
409,christianpera12,0,1,1,0.0,1.0,1.0,0
410,PizuuNavarro,0,1,1,0.0,1.0,1.0,0
411,MASSAUNLAM,0,1,1,0.0,1.0,1.0,0
412,MacuuRetondale,0,1,1,0.0,1.0,1.0,0
413,Angela411975,0,2,2,0.0,2.0,2.0,0
414,negrodo,0,1,1,0.0,1.0,1.0,0
415,tetecas80,0,6,6,0.0,6.0,6.0,0
416,facudelcerro,0,9,9,0.0,10.0,10.0,145
417,KeAysiaLoveee,0,1,1,0.0,1.0,1.0,0
418,ethancrosbie0,0,1,1,0.0,1.0,1.0,0
419,MatiasMorsan,0,1,1,0.0,1.0,1.0,0
420,ramon99001,0,1,1,0.0,3.0,3.0,0
421,esveritas_esvit,0,1,1,0.0,1.0,1.0,0
422,_jor__k,0,2,2,0.0,2.0,2.0,0
423,marianaayesa,0,3,3,0.0,3.0,3.0,0
424,BlaasMR,0,1,1,0.0,1.0,1.0,0
425,erikaarenas22,0,1,1,0.0,1.0,1.0,0
426,abrufarina,0,1,1,0.0,1.0,1.0,0
427,juangulias,0,1,1,0.0,1.0,1.0,0
428,CinScali,0,1,1,0.0,1.0,1.0,0
429,Ali_mey,0,5,5,0.0,5.0,5.0,0
430,Igna_Medialdea,0,1,1,0.0,1.0,1.0,0
431,CansecoFingre,0,1,1,0.0,1.0,1.0,0
432,Sutpacgt,0,18,18,0.0,19.0,19.0,91
433,KAIJUKING23,0,1,1,0.0,1.0,1.0,0
434,NekoXeneize,0,1,1,0.0,1.0,1.0,0
435,SergioGarciaMST,0,3,3,0.0,3.0,3.0,0
436,swhbh,0,1,1,0.0,1.0,1.0,0
437,pinceladascult,0,1,1,0.0,1.0,1.0,0
438,neripetz,0,1,1,0.0,1.0,1.0,0
439,Queenrheeee,0,1,1,0.0,1.0,1.0,0
440,DaianaAguirres,0,1,1,0.0,1.0,1.0,0
441,pmh78,0,1,1,0.0,1.0,1.0,0
442,NahirBattista,0,1,1,0.0,1.0,1.0,0
443,NicolasVezenyi,0,3,3,0.0,3.0,3.0,0
444,mdoloresamadeo,0,1,1,0.0,1.0,1.0,0
445,TSeljos,0,7,7,0.0,7.0,7.0,79
446,ElCaraEPoio,0,1,1,0.0,1.0,1.0,0
447,BlurryDxblass,0,1,1,0.0,1.0,1.0,0
448,Anyulina63,0,19,19,0.0,25.0,25.0,131
449,adrip0102,0,1,1,0.0,2.0,2.0,0
450,Ezedutra,0,1,1,0.0,1.0,1.0,0
451,JABH44,0,1,1,0.0,1.0,1.0,0
452,Max25ok,0,1,1,0.0,1.0,1.0,0
453,NoyzeSmythe,0,1,1,0.0,1.0,1.0,0
454,piuqueVillavic1,0,1,1,0.0,1.0,1.0,0
455,trafficMIRANDA,0,4,4,0.0,5.0,5.0,0
456,dannymiche,1,10,11,1.0,10.0,11.0,91
457,Niconan_93,0,5,5,0.0,5.0,5.0,0
458,emichichomarino,0,1,1,0.0,1.0,1.0,0
459,DiegoHe901,0,8,8,0.0,10.0,10.0,3
460,PatPatrick45,0,1,1,0.0,1.0,1.0,0
461,EnriqueViale,0,2,2,0.0,2.0,2.0,0
462,NoMasPeronChos,0,8,8,0.0,9.0,9.0,131
463,robertoserbiano,0,2,2,0.0,2.0,2.0,0
464,aledamsilva,0,2,2,0.0,2.0,2.0,0
465,noelia_busta,0,1,1,0.0,1.0,1.0,0
466,TioVik,0,1,1,0.0,1.0,1.0,0
467,ghxsstt,0,6,6,0.0,6.0,6.0,0
468,diazsofi18,0,1,1,0.0,1.0,1.0,0
469,acyplakov,0,1,1,0.0,2.0,2.0,0
470,Mtracchia,0,1,1,0.0,1.0,1.0,0
