id,label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
66912,AlduMarieel,1,0,1,1.0,0.0,1.0,0
66913,bbonnie123,1,0,1,1.0,0.0,1.0,0
66914,JosefinaArb,1,0,1,1.0,0.0,1.0,0
66915,amastit,2,0,2,5.0,0.0,5.0,0
66916,CaroSilvestre,1,0,1,2.0,0.0,2.0,0
66917,MAJOPUEBLO,2,0,2,2.0,0.0,2.0,0
66918,ManuGuzman22,1,0,1,1.0,0.0,1.0,0
66919,AlvaroFCanton,14,1,15,15.0,1.0,16.0,173
66920,CharcitaJune,1,0,1,1.0,0.0,1.0,0
66921,LademareOK,1,0,1,1.0,0.0,1.0,0
66922,leftistideas,3,0,3,3.0,0.0,3.0,0
66923,kayleighmcenany,2,0,2,2.0,0.0,2.0,0
66924,AndyMolina2112,3,0,3,4.0,0.0,4.0,0
66925,Bertita57,1,0,1,1.0,0.0,1.0,0
66926,LauraVaschetto,1,0,1,1.0,0.0,1.0,0
66927,zombiesands,1,0,1,1.0,0.0,1.0,0
66928,facupere,1,0,1,1.0,0.0,1.0,0
66929,noeepaz,1,0,1,1.0,0.0,1.0,0
66930,Arq_Raul_Suarez,3,0,3,3.0,0.0,3.0,0
66931,sebamadryn,1,0,1,1.0,0.0,1.0,0
66932,liz_vizcarra,2,1,3,2.0,1.0,3.0,0
66933,VigoCeltico,0,1,1,0.0,1.0,1.0,0
66934,pabloriossl,2,0,2,2.0,0.0,2.0,0
66935,MarinaAcunia,1,0,1,1.0,0.0,1.0,0
66936,irubree,1,0,1,1.0,0.0,1.0,0
66937,lbrass3,2,0,2,2.0,0.0,2.0,0
66938,luanaozzan,1,0,1,1.0,0.0,1.0,0
66939,yvonne_simone,1,0,1,1.0,0.0,1.0,0
66940,CORDOBAESPIRATA,1,0,1,1.0,0.0,1.0,0
66941,arttpopsus,1,0,1,1.0,0.0,1.0,0
66942,cincopalpeso,5,0,5,5.0,0.0,5.0,0
66943,jackiTocuyo,1,0,1,1.0,0.0,1.0,0
66944,mariadelapaz01,2,0,2,3.0,0.0,3.0,0
66945,IrrompiblesChac,0,1,1,0.0,1.0,1.0,0
66946,jimemdq,3,0,3,3.0,0.0,3.0,0
66947,rociosalguerook,1,0,1,2.0,0.0,2.0,0
66948,StephenKing,2,0,2,2.0,0.0,2.0,0
66949,666kilates,2,0,2,2.0,0.0,2.0,0
66950,rocioivanaib,1,0,1,1.0,0.0,1.0,0
66951,martumareque,1,0,1,1.0,0.0,1.0,0
66952,Damiann23122,8,0,8,10.0,0.0,10.0,3
66953,MalbiPena,1,0,1,1.0,0.0,1.0,0
66954,k0ala____,1,0,1,1.0,0.0,1.0,0
66955,sepia_canario12,2,0,2,2.0,0.0,2.0,0
66956,ariazeo,1,0,1,1.0,0.0,1.0,0
66957,Ladyjet02,1,1,2,1.0,1.0,2.0,0
66958,DebiPowers,1,0,1,1.0,0.0,1.0,0
66959,MarielaStumpfs,2,0,2,2.0,0.0,2.0,0
66960,lanuni_,1,0,1,1.0,0.0,1.0,0
66961,meganhswanson,2,0,2,2.0,0.0,2.0,0
66962,enSEMANAdigital,1,0,1,1.0,0.0,1.0,0
66963,ramiro_godoy,2,1,3,2.0,1.0,3.0,0
66964,LautyCarpio_,1,0,1,1.0,0.0,1.0,0
66965,Lilispereyra,0,1,1,0.0,1.0,1.0,0
66966,KimHanchette,1,0,1,1.0,0.0,1.0,0
66967,CristianwBazan,1,0,1,1.0,0.0,1.0,0
66968,TheLastLeg,1,0,1,1.0,0.0,1.0,0
66969,sandraalvarezr3,5,0,5,5.0,0.0,5.0,0
66970,klainemoonlight,1,0,1,1.0,0.0,1.0,0
66971,70screwxxx,1,0,1,2.0,0.0,2.0,0
66972,MariPaoluccii,2,0,2,2.0,0.0,2.0,0
66973,DiceTino,1,0,1,1.0,0.0,1.0,0
66974,BernieBuddy16,1,0,1,1.0,0.0,1.0,0
66975,lea_pachu,1,0,1,1.0,0.0,1.0,0
66976,hi_hat_truth,1,0,1,1.0,0.0,1.0,0
66977,Criis155,1,0,1,1.0,0.0,1.0,0
66978,alemilitante,1,0,1,1.0,0.0,1.0,0
66979,Vivianaolimpo,1,0,1,1.0,0.0,1.0,0
66980,ltgins,2,0,2,2.0,0.0,2.0,0
66981,kat_mdq,1,0,1,1.0,0.0,1.0,0
66982,lilisabella14,3,0,3,3.0,0.0,3.0,0
66983,mnnurse10,1,0,1,1.0,0.0,1.0,0
66984,CandeyQ,1,0,1,1.0,0.0,1.0,0
66985,justchillcourt,1,0,1,1.0,0.0,1.0,0
66986,minespaolantoni,1,0,1,1.0,0.0,1.0,0
66987,CamilaOsuna6,1,0,1,1.0,0.0,1.0,0
66988,IUSY_Global,16,4,20,16.0,4.0,20.0,173
66989,tylerxgrimes,2,1,3,2.0,1.0,3.0,0
66990,LanaDelFernet,2,0,2,2.0,0.0,2.0,0
66991,DOPE_VIB_EZ,1,0,1,4.0,0.0,4.0,0
66992,josebalcarceee,19,0,19,21.0,0.0,21.0,91
66993,Gordo_Resentido,2,1,3,2.0,1.0,3.0,0
66994,Ericjwalden,1,0,1,1.0,0.0,1.0,0
66995,yosleidyorta,2,0,2,4.0,0.0,4.0,0
66996,larsenfede,1,0,1,1.0,0.0,1.0,0
66997,gonzamortola,0,1,1,0.0,1.0,1.0,0
66998,OLlancafilo,7,0,7,7.0,0.0,7.0,82
66999,ArielMag3738,1,0,1,1.0,0.0,1.0,0
67000,martinhalty,3,0,3,3.0,0.0,3.0,0
67001,CampsMaria,1,0,1,1.0,0.0,1.0,0
67002,Juanocortes88,4,0,4,5.0,0.0,5.0,0
67003,MauricioPanozzo,1,0,1,1.0,0.0,1.0,0
67004,_CMansilla,1,1,2,1.0,1.0,2.0,0
67005,rdaro_,1,0,1,1.0,0.0,1.0,0
67006,Mar_Celestep,1,0,1,1.0,0.0,1.0,0
67007,xeneize_emanuel,1,0,1,1.0,0.0,1.0,0
67008,LaRenovadora,4,1,5,4.0,1.0,5.0,0
67009,Ramaa97,1,0,1,1.0,0.0,1.0,0
67010,francozago,0,1,1,0.0,1.0,1.0,0
67011,AntoJBNT,1,0,1,1.0,0.0,1.0,0
67012,respbarb,2,0,2,2.0,0.0,2.0,0
67013,MeliLeguizamon4,1,0,1,1.0,0.0,1.0,0
67014,lucy42441469,2,1,3,2.0,1.0,3.0,0
67015,LucaasPB,0,1,1,0.0,1.0,1.0,0
67016,MaaaguiRC,1,0,1,1.0,0.0,1.0,0
67017,GabiMunaris,1,0,1,1.0,0.0,1.0,0
67018,Fte_Izquierda,5,0,5,5.0,0.0,5.0,0
67019,alenavilla,1,0,1,1.0,0.0,1.0,0
67020,CamiiiCorvalan,1,0,1,1.0,0.0,1.0,0
67021,CeleeFernandez2,2,1,3,2.0,1.0,3.0,0
67022,MaSofiaZelaya,1,0,1,1.0,0.0,1.0,0
67023,cliche4lyfe,1,0,1,1.0,0.0,1.0,0
67024,cesarmolinaus,1,0,1,1.0,0.0,1.0,0
67025,GuidoSalaa,3,0,3,3.0,0.0,3.0,0
67026,SrDistopia,3,0,3,3.0,0.0,3.0,0
67027,Vale_Moron78,1,0,1,1.0,0.0,1.0,0
67028,cuchuvazquez,1,1,2,1.0,1.0,2.0,0
67029,loreepalavecino,1,0,1,1.0,0.0,1.0,0
67030,Pablo88491891,5,0,5,6.0,0.0,6.0,0
67031,naranja2015a20,6,0,6,6.0,0.0,6.0,0
67032,cristobalcerv,4,1,5,5.0,1.0,6.0,0
67033,MrDarthVader2U,2,0,2,2.0,0.0,2.0,0
67034,TirsoAR,1,0,1,1.0,0.0,1.0,0
67035,Mercedes0646,1,0,1,2.0,0.0,2.0,0
67036,freecassettes,1,0,1,1.0,0.0,1.0,0
67037,_wildflowers_68,1,0,1,1.0,0.0,1.0,0
67038,ari2271,3,0,3,4.0,0.0,4.0,0
67039,maryln_redenius,3,2,5,3.0,2.0,5.0,0
67040,Elias_Xeneize96,1,0,1,1.0,0.0,1.0,0
67041,eduardobrosio,2,0,2,2.0,0.0,2.0,0
67042,unshakeableshan,1,0,1,1.0,0.0,1.0,0
67043,JoseLui0358789,1,0,1,1.0,0.0,1.0,0
67044,madnesszxyn,2,0,2,2.0,0.0,2.0,0
67045,aguslabomba,1,0,1,1.0,0.0,1.0,0
67046,Bortolomeo_,3,0,3,3.0,0.0,3.0,0
67047,erincotterdavis,1,0,1,1.0,0.0,1.0,0
67048,NosoyunaSra,0,1,1,0.0,1.0,1.0,0
67049,PaulaFRial,1,0,1,1.0,0.0,1.0,0
67050,JonathanEBroun,1,0,1,1.0,0.0,1.0,0
67051,darioacosta80,1,0,1,1.0,0.0,1.0,0
67052,ValeCalderonn,1,0,1,1.0,0.0,1.0,0
67053,herbmelvnis,10,0,10,12.0,0.0,12.0,3
67054,uberfil_ok,4,0,4,4.0,0.0,4.0,0
67055,SoyMaybel,27,2,29,29.0,2.0,31.0,131
67056,CandeAylen014,1,0,1,1.0,0.0,1.0,0
67057,AbraceUn,6,0,6,6.0,0.0,6.0,0
67058,danielalq83,7,1,8,7.0,1.0,8.0,91
67059,C_27Official,1,0,1,1.0,0.0,1.0,0
67060,GiomaraPerdigon,2,1,3,2.0,1.0,3.0,0
67061,planetaedlp,1,0,1,1.0,0.0,1.0,0
67062,neta_barrera,2,0,2,2.0,0.0,2.0,0
67063,AmelieGranata,4,1,5,4.0,1.0,5.0,0
67064,SYLEMOR,2,0,2,2.0,0.0,2.0,0
67065,gis24ca,1,0,1,1.0,0.0,1.0,0
67066,Niceftdeck,1,0,1,1.0,0.0,1.0,0
67067,AgushTuitea,1,0,1,1.0,0.0,1.0,0
67068,pablocapdevila1,2,0,2,2.0,0.0,2.0,0
67069,monic2191,0,1,1,0.0,1.0,1.0,0
67070,RojkesSilvia,7,1,8,7.0,1.0,8.0,91
67071,DANICABRERA2013,2,0,2,2.0,0.0,2.0,0
67072,emanero,199,12,211,203.0,12.0,215.0,91
67073,gpalauposse,7,0,7,8.0,0.0,8.0,131
67074,beatrizr591,11,0,11,12.0,0.0,12.0,131
67075,aquiabuin,1,0,1,1.0,0.0,1.0,0
67076,MorillasJuuli,1,0,1,1.0,0.0,1.0,0
67077,PicadoFinoTN,18,0,18,18.0,0.0,18.0,131
67078,espopularok,4,0,4,4.0,0.0,4.0,0
67079,simplyaMAhzing,1,0,1,1.0,0.0,1.0,0
67080,manuco22,6,2,8,6.0,2.0,8.0,131
67081,AYttz8M0J6JSNeM,0,1,1,0.0,1.0,1.0,0
67082,EliChef2,1,0,1,1.0,0.0,1.0,0
67083,TheSpindleshay,2,0,2,2.0,0.0,2.0,0
67084,holdyourbutts,2,0,2,2.0,0.0,2.0,0
67085,irrompiblesorg,40,3,43,41.0,3.0,44.0,91
67086,DoReyMi_,2,0,2,2.0,0.0,2.0,0
67087,GabrielaInglese,9,0,9,9.0,0.0,9.0,131
67088,KimMatsoukas,1,0,1,1.0,0.0,1.0,0
67089,gustavovare3,1,0,1,1.0,0.0,1.0,0
67090,EmiFernandezRP,4,0,4,4.0,0.0,4.0,0
67091,xscxx_,1,0,1,1.0,0.0,1.0,0
67092,SofiGarayo,1,0,1,1.0,0.0,1.0,0
67093,Virrgi_rod,2,0,2,2.0,0.0,2.0,0
67094,alexisplastico1,1,0,1,1.0,0.0,1.0,0
67095,joselsimon,2,0,2,2.0,0.0,2.0,0
67096,marcelobrignoni,1,0,1,1.0,0.0,1.0,0
67097,E_volution,1,0,1,1.0,0.0,1.0,0
67098,Dvany111,1,0,1,1.0,0.0,1.0,0
67099,2012_majo,3,1,4,3.0,1.0,4.0,0
67100,vidalalejandra4,2,0,2,2.0,0.0,2.0,0
67101,SantiGeringerT,1,0,1,1.0,0.0,1.0,0
67102,hesflorant,1,1,2,1.0,1.0,2.0,0
67103,SerranoNahu,1,0,1,1.0,0.0,1.0,0
67104,Agus2050,1,0,1,1.0,0.0,1.0,0
67105,Electro_robot,5,0,5,5.0,0.0,5.0,0
67106,lauramaiori,3,0,3,3.0,0.0,3.0,0
67107,HollyTafoya,1,0,1,1.0,0.0,1.0,0
67108,Gudiya8SRK,1,0,1,1.0,0.0,1.0,0
67109,TriniSoto_17,1,0,1,1.0,0.0,1.0,0
67110,_BeluPereyra,3,0,3,3.0,0.0,3.0,0
67111,Empegamazo,1,0,1,1.0,0.0,1.0,0
67112,AgosCristiano,1,0,1,1.0,0.0,1.0,0
67113,msgenae,1,0,1,1.0,0.0,1.0,0
67114,Sofi15Diaz,1,0,1,1.0,0.0,1.0,0
67115,Silviaruiz02,1,0,1,1.0,0.0,1.0,0
67116,Sylgama1Sylgama,0,1,1,0.0,1.0,1.0,0
67117,sofsdiez,1,0,1,1.0,0.0,1.0,0
67118,1f5e2fec665e45b,1,0,1,1.0,0.0,1.0,0
67119,ChinoAndrada,1,0,1,1.0,0.0,1.0,0
67120,SBMarcucci,1,1,2,1.0,1.0,2.0,0
67121,caligi14,2,0,2,2.0,0.0,2.0,0
67122,aldirocio3,1,0,1,1.0,0.0,1.0,0
67123,SoofiCilentii,1,0,1,1.0,0.0,1.0,0
67124,Luzbelitoo,2,0,2,2.0,0.0,2.0,0
