Source,Target,weight
156,14440,1.0
156,49564,1.0
156,60121,2.0
156,60826,1.0
156,26141,1.0
157,40741,1.0
158,63872,1.0
158,31525,1.0
159,58139,1.0
160,52497,1.0
160,5787,1.0
161,497,1.0
161,38796,1.0
162,46714,1.0
162,67261,2.0
162,27404,1.0
162,51908,1.0
162,5689,1.0
162,2232,1.0
162,18166,1.0
162,23556,1.0
162,4745,1.0
162,19238,1.0
162,26141,2.0
162,63008,1.0
162,63626,1.0
162,65887,1.0
162,11756,1.0
162,42447,1.0
162,11115,1.0
162,14059,3.0
162,65609,2.0
162,63931,1.0
162,45357,1.0
162,12321,2.0
162,34985,1.0
162,60687,1.0
162,22055,1.0
162,59196,1.0
162,31963,1.0
162,43675,1.0
162,41196,1.0
162,53823,1.0
162,57330,1.0
162,13665,2.0
162,59589,1.0
162,37269,1.0
162,65306,1.0
162,35724,2.0
162,59989,1.0
162,14042,3.0
162,3144,1.0
162,42828,1.0
162,4726,2.0
162,22372,1.0
163,58139,1.0
164,67072,1.0
165,11906,1.0
165,40564,1.0
165,46958,1.0
165,21467,1.0
165,29062,1.0
165,46311,1.0
165,61400,1.0
165,4844,1.0
165,3911,1.0
165,32484,1.0
165,54745,2.0
165,39557,2.0
165,3050,1.0
165,5267,1.0
166,61959,1.0
167,24412,1.0
168,37504,1.0
169,16164,1.0
170,65629,1.0
171,5981,1.0
171,26141,1.0
172,29108,1.0
173,3057,1.0
174,1534,1.0
175,29108,1.0
176,22161,1.0
177,15298,1.0
177,42954,2.0
177,60579,1.0
178,67725,1.0
179,57805,1.0
180,57805,1.0
181,66864,1.0
181,39009,1.0
181,26141,2.0
182,40802,1.0
182,34384,1.0
183,65827,1.0
183,17509,1.0
183,45091,1.0
184,35625,1.0
184,21401,1.0
184,54978,1.0
184,9769,2.0
185,5889,1.0
185,46012,1.0
185,13622,1.0
185,14661,1.0
186,34131,1.0
186,14582,1.0
187,37030,1.0
188,11906,1.0
188,1658,1.0
188,65468,1.0
188,37227,1.0
189,54455,1.0
189,16555,1.0
189,27778,1.0
189,46685,1.0
189,71057,1.0
189,60687,1.0
189,46998,1.0
189,9198,1.0
189,65821,1.0
189,41270,1.0
189,16462,1.0
189,17322,1.0
189,14042,2.0
189,34802,1.0
189,35952,1.0
190,12584,1.0
191,22974,1.0
191,643,1.0
191,14059,1.0
191,64682,1.0
191,54455,1.0
192,36911,1.0
193,60687,1.0
194,34955,1.0
194,5889,1.0
194,31949,1.0
194,58199,1.0
194,26141,1.0
195,68474,1.0
196,39009,1.0
196,26141,1.0
197,10757,1.0
197,4726,1.0
198,70363,1.0
199,26141,1.0
200,12824,1.0
200,40566,1.0
200,55569,1.0
200,5690,1.0
200,9068,1.0
200,33286,1.0
200,5553,1.0
200,65431,1.0
200,71249,1.0
200,12772,1.0
200,3933,1.0
200,66067,1.0
200,25243,1.0
200,42371,1.0
200,9743,1.0
200,54275,1.0
200,37544,1.0
200,20323,1.0
200,64723,1.0
200,18633,1.0
200,10296,1.0
200,27258,1.0
200,24604,1.0
200,69553,1.0
200,44475,1.0
200,52227,1.0
200,39404,1.0
200,22730,1.0
200,27546,1.0
200,31906,1.0
200,30497,1.0
200,1396,1.0
200,63535,1.0
200,16722,1.0
200,53046,1.0
200,32975,1.0
200,22306,1.0
200,20300,1.0
200,21385,1.0
200,26499,1.0
200,41288,1.0
200,5868,1.0
200,17289,1.0
200,69371,1.0
200,3685,1.0
200,63283,1.0
200,7721,1.0
200,28578,1.0
200,8135,1.0
200,37041,1.0
200,42826,1.0
200,10865,1.0
200,67574,1.0
200,2812,1.0
200,200,1.0
200,17648,1.0
200,31372,1.0
200,36542,1.0
200,46454,1.0
200,29422,1.0
200,44640,1.0
200,66680,1.0
200,4133,1.0
200,35485,1.0
200,28811,1.0
200,22635,1.0
200,63830,1.0
200,20793,1.0
200,65102,1.0
200,38824,1.0
200,61378,1.0
200,50966,1.0
200,6055,1.0
200,35388,1.0
200,31816,1.0
200,2168,1.0
200,39951,1.0
200,61515,1.0
200,6431,1.0
200,30091,1.0
200,62634,1.0
200,23221,1.0
200,29866,1.0
200,52260,1.0
200,771,1.0
200,46848,1.0
200,5107,1.0
200,636,1.0
200,11346,1.0
200,17895,1.0
200,55666,1.0
200,61936,1.0
200,63476,1.0
200,1587,1.0
200,47893,1.0
200,43567,1.0
200,17076,1.0
200,56514,1.0
200,28066,1.0
200,69567,1.0
200,66912,1.0
200,36945,1.0
200,61590,1.0
200,19279,1.0
200,20691,1.0
200,18514,1.0
200,19832,1.0
200,52839,1.0
200,8470,1.0
200,33248,1.0
200,36095,1.0
200,25202,1.0
200,25226,1.0
200,25013,1.0
200,41505,1.0
200,25945,1.0
200,7656,1.0
200,42481,1.0
200,23831,1.0
200,66783,1.0
200,378,1.0
200,66794,1.0
200,26234,1.0
200,13502,1.0
201,22161,1.0
202,21743,1.0
203,64316,1.0
203,54872,1.0
203,37256,1.0
203,24798,1.0
203,40740,1.0
203,26141,1.0
203,37496,1.0
203,29715,1.0
203,51670,1.0
203,43774,1.0
203,1237,1.0
203,35308,1.0
203,29357,1.0
203,53317,1.0
203,53054,1.0
203,61859,1.0
203,49076,1.0
203,20086,1.0
203,14321,1.0
203,20240,1.0
203,40039,1.0
203,41855,1.0
203,5889,1.0
203,22831,1.0
203,39822,1.0
204,57805,1.0
205,57805,1.0
205,12229,1.0
206,52146,1.0
207,67380,1.0
208,15731,1.0
208,66866,1.0
208,26141,1.0
208,60255,1.0
209,39009,1.0
209,26141,3.0
210,24155,2.0
210,284,2.0
210,70565,1.0
210,35063,1.0
211,51536,1.0
212,57805,1.0
213,4726,1.0
214,5606,1.0
215,57805,1.0
216,62865,1.0
217,58139,1.0
218,23327,1.0
218,35718,1.0
218,57402,1.0
218,26487,1.0
218,11852,1.0
218,68674,1.0
219,67725,1.0
220,40331,1.0
221,60255,1.0
222,62374,1.0
222,28292,1.0
222,68829,1.0
222,67195,1.0
222,12581,1.0
223,54823,1.0
224,23600,1.0
225,68818,1.0
226,54455,1.0
226,23086,1.0
226,35724,1.0
226,14042,1.0
226,60687,1.0
226,14059,1.0
226,11756,1.0
226,25589,1.0
226,39290,1.0
227,13665,1.0
227,7440,1.0
228,9700,1.0
229,67381,1.0
230,42029,1.0
231,24852,1.0
231,55322,1.0
231,60687,5.0
231,51850,1.0
231,24932,1.0
231,34668,2.0
231,27630,1.0
231,63931,1.0
231,15296,1.0
231,9681,1.0
231,55331,1.0
231,14059,1.0
231,35724,3.0
231,4726,1.0
231,17509,1.0
231,64682,1.0
231,3057,1.0
232,69802,1.0
232,15298,1.0
232,42954,2.0
232,60579,1.0
233,27558,1.0
233,32907,1.0
234,4107,1.0
234,4726,1.0
234,11852,1.0
234,60687,1.0
235,5889,1.0
236,17349,1.0
237,38986,1.0
238,32397,1.0
238,48745,1.0
239,51121,1.0
240,516,1.0
241,67072,1.0
242,19964,1.0
243,57714,1.0
243,66715,1.0
244,44038,1.0
244,26141,1.0
244,26987,1.0
245,33264,1.0
245,30518,1.0
246,44825,1.0
247,21684,1.0
248,27558,1.0
248,2348,1.0
248,35724,1.0
248,63931,1.0
249,4274,1.0
250,19705,1.0
251,26141,1.0
252,26473,1.0
253,32095,1.0
254,25803,1.0
255,33479,1.0
256,58139,1.0
257,42529,1.0
258,14990,1.0
258,3072,1.0
258,39009,1.0
259,52249,1.0
260,60255,1.0
261,37709,1.0
262,62478,1.0
263,52580,1.0
263,40271,1.0
263,39497,1.0
263,49648,1.0
264,29035,1.0
265,68160,1.0
266,27630,1.0
267,62295,1.0
268,37978,1.0
269,40331,1.0
270,63582,1.0
270,64582,1.0
270,26141,2.0
270,51892,1.0
270,48576,1.0
271,21958,1.0
272,3057,1.0
273,40597,1.0
273,6610,1.0
273,40308,1.0
273,29116,1.0
273,2083,1.0
273,55728,1.0
273,59041,1.0
273,67805,1.0
273,68599,1.0
273,27924,1.0
273,18802,1.0
273,30427,1.0
274,32731,1.0
275,60255,1.0
276,57534,1.0
276,5889,1.0
276,14587,1.0
277,26141,1.0
278,3057,1.0
279,52894,2.0
280,46958,1.0
281,63651,1.0
282,4726,1.0
283,23449,1.0
284,24155,2.0
284,284,2.0
284,70565,1.0
284,46135,1.0
284,42198,1.0
284,4926,1.0
284,15528,2.0
284,35063,1.0
284,20216,1.0
284,60538,1.0
284,70379,1.0
284,16914,1.0
285,67933,1.0
286,5889,1.0
287,50547,1.0
287,27216,1.0
288,26141,1.0
289,22161,1.0
290,3708,1.0
291,26141,1.0
292,34955,1.0
293,29108,1.0
293,57805,1.0
294,26141,1.0
295,50117,1.0
296,62374,1.0
296,28292,1.0
296,68829,1.0
296,67195,1.0
296,12581,1.0
297,500,1.0
298,6285,2.0
299,21306,1.0
299,40328,1.0
299,46331,1.0
299,24758,1.0
300,17568,1.0
301,63214,1.0
301,35976,1.0
301,39009,1.0
301,45017,1.0
301,42934,1.0
301,32882,1.0
301,52689,1.0
301,7799,1.0
302,14234,1.0
302,2442,1.0
302,68875,1.0
302,21059,1.0
302,31760,1.0
303,57355,1.0
304,29201,1.0
304,16834,1.0
304,50623,1.0
305,43210,1.0
305,5508,1.0
305,10841,1.0
305,2161,2.0
306,40741,1.0
306,37750,1.0
307,34955,1.0
307,27530,1.0
308,22161,1.0
309,12586,1.0
309,10504,1.0
309,39095,1.0
309,23270,1.0
309,52580,1.0
309,57805,1.0
309,50218,1.0
309,39361,1.0
309,22036,1.0
309,71065,1.0
309,10304,1.0
310,22161,1.0
310,21743,1.0
311,59107,1.0
312,51582,1.0
313,26552,1.0
313,68545,1.0
314,43740,1.0
315,21743,1.0
316,71378,1.0
317,51169,1.0
317,32693,1.0
318,5701,1.0
318,39497,2.0
319,19367,1.0
320,40056,1.0
320,12390,1.0
321,57805,1.0
321,12279,1.0
322,17581,1.0
323,35724,1.0
323,39290,1.0
324,62374,1.0
324,28292,1.0
324,68829,1.0
324,67195,1.0
324,12581,1.0
325,26823,1.0
325,26141,2.0
325,71065,1.0
326,26141,1.0
327,60255,1.0
328,5889,1.0
329,44569,1.0
329,13798,1.0
329,32907,1.0
329,24154,1.0
329,47450,1.0
329,13665,1.0
329,60687,2.0
329,26141,1.0
329,47100,1.0
329,20862,1.0
329,1534,1.0
329,27558,1.0
329,55931,1.0
329,32543,1.0
329,43675,1.0
329,52176,1.0
329,21958,1.0
329,33041,1.0
329,57836,1.0
329,47161,1.0
329,35724,4.0
329,29867,1.0
329,4726,1.0
329,26812,1.0
329,63931,1.0
330,68955,1.0
331,57805,1.0
332,47161,1.0
333,11671,1.0
333,7333,1.0
334,35048,1.0
334,1428,1.0
335,60255,1.0
336,41207,1.0
337,65629,1.0
338,22161,1.0
339,15841,1.0
339,48569,1.0
340,62374,1.0
340,28292,1.0
340,68829,1.0
340,67195,1.0
340,12581,1.0
